"title","date_published","text"
"Beautiful China helps to convey the country's green message","2018-10-30","                      Back in 2009, China was wrongly accused by the West of ""hijacking"" the Copenhagen talks on climate change. By then China had truly implemented strict policies to reduce the energy intensity of economic activities and at the international level, the top Chinese leaders engaged in round-clock efforts to coordinate the stances of the major players to build a united front for efforts to address global warming. But China was finally misjudged. This misjudgment prompted China's scholars to rethink China's climate change communication strategy. Among them was Zheng Baowei, journalism professor of Renmin University of China, who realized China had to better shape its communication on its environmental protection. Wang Binbin, then Oxfam China's communication manager in China, initiated research on how to better get China's environmental message across with Professor Zheng taking the lead. I myself was a witness to China's efforts in Copenhagen as I was with the then premier Wen Jiabao's delegation reporting on the talks, and, as a volunteer, I have been supporting this research effort. Delightfully, the efforts have paid off. Zheng set up a top-level international panel advising his research team, he is supervising doctoral candidates on climate change communication, climate awareness surveys have been conducted, many seminars have been arranged and, most important, a package of communication tools has been designed. This year, Zheng also initiated a communication research center for climate change and health in Guangxi University in the Guangxi Zhuang autonomous region, in which he heads the School of Journalism and Communication. Recently, he arranged a seminar on climate change and health communication on the changing situation both in China and the world. First of all, this highlighted that China's policy has evolved from reducing its energy intensity and pollution prevention into the overarching goals of achieving a ""Beautiful China"" and ""Healthy China,"" while coming up with strategy to realize an ecological civilization since late 2012. With such goals, China implemented supply-side structural reform to curb pollution and reduce its overcapacity, and it played a leading role in securing the Paris climate change deal in 2015 together with the United States and European Union. In Paris, China committed to peak its carbon emissions in 2030. It is a demanding job communicating climate change and other topics of sustainable development well. Despite that, some foreign scholars have realized China's smart ways in presenting the green concepts. Professor Jean-Pascal Van Ypersele, former vice-chairman of the UN Intergovernmental Panel on Climate Change is among them. When he analyzed the causes of global temperature rise and its harm to humans at the seminar in Guangxi University, he said the aim of climate change research is to further reach consensus on the goal of tackling climate change and to strive for synergies to achieve related objectives. He said he liked China's ideas of building a Beautiful China and a Healthy China and said it can be expanded into an idea of a Beautiful World and Healthy World. Looking back from how China had followed the steps of the industrialized countries in advocating climate fight, now its own green ideas are being recognized. The author is deputy chief of China Daily European Bureau.           "
"Asia, Europe must partner to address global challenges","2018-10-10","                      A tiny airport in my mountainous hometown in Sichuan province, where a small number of farmers still live in absolute poverty, has been put into trial operation. It means that next year, if all goes well, I will be able to visit my parents and relatives within half day by taking a flight from Beijing. This is revolutionary change for the 4 million residents (one-third the total population of Belgium) of Bazhong in Sichuan province. In the early 1990s, when I travelled between my hometown and Beijing for higher education, the time-consuming, overcrowded journey over bumpy roads and by slow train was nostalgic, but also arduous and distressing. In addition, construction work on Beijing's second international airport, now officially named Beijing Daxing International Airport, is in full swing. And Chongqing, about 300 kilometers away from my hometown, is reportedly talking with Belgium about a direct flight between Chongqing and Brussels. A Beijing-Brussels flight was launched more than 10 years ago, and such linkages have also been established with Shanghai and Shenzhen. These are vivid examples how China, no matter whether it be big Chinese cities or tiny villages, where people still in poverty, passionately engages with the world by offering infrastructural connectivity. There has been a growing number of direct flights been China and other countries in recent years, and an increasing diversity of destinations. There has also been a surge in other means of connectivity between China and other countries. These encouraging actions and ambitions must be reflected at the upcoming summit of Asian and European leaders to be held in Brussels on Oct 18-19, where the participants are to discuss ""joint actions"" against ""global challenges"". Indeed, the 12th Summit of the Asia Europe Meeting (ASEM12), is being held against the complicated and worrying backdrop that the United States has escalated its trade frictions with China and other partners. The country's politicians have even started spreading fabricated narratives about China in order to influence the world. But we should not be frightened when the global power temporally takes irresponsible actions. Instead, Asian and European countries, natural neighbors on the Eurasian continent, should stick to their own agenda of identifying common priorities and targets and rolling out regional and continental action plans to become closer in more convenient ways. Asian and European leaders meet every two years. This is a rational arrangement, which leaves a lot of time for concrete actions. When the leaders of about 50 countries meet, they identify doable goals and then after two years, they can check delivery. Right now, connectivity, infrastructure, education and industry are still the key requirements for the Eurasian continent. Between West Europe and East Asia, there is a vast number of regions, countries, counties and villages still in isolation, poverty, and even conflict. Luckily, across the continent, many countries are actively pursuing integration, although extremism and populism are also challenging. The European Union has recently announced its own connectivity plan for the continent, many EU member countries have their regional ambitions, and Russia, India and Mongolia have also their own designs for regional development. China proposed the Belt and Road Initiative five years ago. In facing this fascinating landscape of increasing connectivity, instead of building walls and madly levying tariffs, the leaders of Europe and Asia must think ahead how to better coordinate and accommodate their countries' differing needs. In doing so, Asia and Europe would indeed be fighting against the global challenges. That will also help create more Asian and European stories similar to that of my hometown, which was isolated from the rest of the world until just a few decades ago. The author is deputy chief of China Daily European Bureau. fujing@chinadaily.com.cn         "
"For China and EU, way to common prosperity could be through food","2018-09-18","                      FILE PHOTO: Euro coins are seen in front of displayed flag and map of European Union in this picture illustration taken in Zenica, May 28 2015.[Photo/Agencies]   Big plate chicken-big chunks of chicken and potatoes cooked in a beer-based sauce and garnished with bell peppers-is a famous dish in the Xinjiang Uygur autonomous region. But in a small restaurant in Namur, Belgium, which serves this dish, diners often have to order in advance, or wait in a long line to get a table.  Near Vrije University Brussels, a Chinese graduate has opened a restaurant selling grilled fish. The eatery is always crowded. Such cases are no longer exceptions. In many European cities, Chinese youths have opened restaurants. Some of these restaurateurs are still studying in a college to earn a degree.  With growing numbers of Chinese students, businesspersons and tourists flocking to Europe, many new restaurants have been set up to meet the rising demand of different palates. In addition, many Europeans, especially those who have had the experience of visiting China, love a myriad of Chinese cuisines.  In London, Paris, Amsterdam and Berlin, such businesses have become competitive, providing diners with different options for relatively authentic Chinese dishes.  In many European cities, it is still difficult to get high-quality Chinese food, though. Perhaps the main reason for that is the dearth of chefs who specialize in Chinese dishes. A few countries, such as Germany, have signed agreements with China for the exchange of cooks. But many countries don't issue visas to Chinese chefs.  Many people who cook Chinese dishes in Europe are not professionals. For the old generations, they chose to cook for survival. Many are not even trained and don't like the profession. And even those newly opened restaurants across Europe don't have enough professional chefs who can cook Chinese dishes.  This is an issue that deserves attention and investment, especially because of the rising demands and business opportunities. Given that this year marks the fifth anniversary of the China-proposed Belt and Road Initiative, China should consider taking measures to promote Chinese cuisines overseas. And in return, it should welcome the foods and chefs from other countries.  The Belt and Road Initiative encompasses the concepts of health, environmentally friendliness, low-carbon economy and digitization. It should now include cuisine exchange. The business of food holds huge potential. It's like music. No language is required to enjoy and appreciate it.  The shortage of chefs in Europe specializing in Chinese dishes can be solved in two ways.  First, China could negotiate with the European Union member states, or the EU as a whole, to start a chef-to-chef exchange program. China and Germany have been doing this for years and their experiences can be used to make the exchange program not only workable but also flourishing.  Equally importantly, China could allow EU member states to send European chefs to China to meet the rising demand for authentic European dishes in the country.  If it is difficult to reach a consensus on the issue, China could arrange for the amateur chefs working in restaurants in Europe to receive proper training. The issue deserves attention, because it would not require huge investments. After all, Chinese chefs working overseas are ambassadors of Chinese culture. And of course, businesspeople are welcome to take up this responsibility.  Not many European cities have Chinese restaurant chains. For investors, this means opportunities, which they can capitalize on to expand their wealth. Hopefully, by 2023, when the Belt and Road Initiative would mark its 10th anniversary, Europe would have more chain restaurants serving Chinese cuisines and Chinese cities would play host to umpteen European restaurants.  The author is deputy chief of China Daily European Bureau.  fujing@chinadaily.com.cn         "
"The future holds promise thanks to painstaking efforts of China","2018-09-11","                      With Greece officially ending the bailout agreement with the International Monetary Fund, European Central Bank and the European Commission, the decade-long global financial crisis, which was triggered by the collapse of US investment bank Lehman Brothers on Sept 15, 2008, seems to be over. And some economists and institutions worldwide are reflecting on the lessons and experiences of the global financial crisis. But there is no reason for the international community to feel relieved and be complacent about the challenges ahead, because partly due to the appreciation of the US dollar, the value of many currencies, especially those of Turkey and Argentina, have fallen drastically spreading panic in the world markets. Which reminds us of the situation when the global financial crisis broke out in 2008. Besides, many consensuses and institutional arrangements the international community agreed to after World War II to jointly deal with global crises are under attack. For example, by using protectionist and unilateral measures, the United States is destroying the spirit of multilateralism. The World Trade Organization and the multilateral trading system could become ineffective if the US continues to practice its unilateral and isolationist policies. The US also has pulled out of the Paris climate accord and the Iran nuclear deal, which were reached after painstaking efforts of the international community, not to mention the tariff war it has launched against some economies, especially China, which threaten to snowball into a full-fledged trade war. Moreover, US President Donald Trump has pulled the US out of the Trans-Pacific Partnership agreement and the Transatlantic Trade and Investment Partnership, which the Barack Obama administration had advanced to boost trade and investment among the advanced economies. For the European Union, the influx of refugees and migrants from North Africa and the Middle East still poses a big problem. And Brexit will further complicate matters for it. These developments have prompted some observers to suggest the influence of the developed world, the US in particular, is declining and that of China is increasing. But the truth is, China has no intention of replacing the US, as it is charting its own development course and is strongly opposed to hegemony. Disorder, uncertainties and transformation are the complex challenges the world is facing today. So tough and complex are these challenges that some even fear the world might be moving toward another crisis, instead of progressing toward better days. The very thought may be alarming, but the fact that the developing world and emerging economies have been contributing more and more to the world economy-along with China's timely and generous injection of liquidity into debt-ridden countries and the IMF's stabilizing efforts-suggests the global market will stabilize in the near future. Actually, China's investments in other countries have helped restore the world's confidence in multilateral trade and boost global growth. The increase in developing countries' voting powers, although marginal, in international financial and economic institutions and the yuan's inclusion in the IMF's Special Drawing Rights basket will also help China improve global trade governance. China has proposed the Belt and Road Initiative to improve interconnectivity among countries, which in turn will boost trade and investment. And loans and investments of the Asian Infrastructure Investment Bank and the BRICS New Development Bank are already improving global governance. Russia, Mongolia and Central Asian countries, even the EU are keen on becoming part of the Belt and Road Initiative. In fact, many countries, including some EU member states, have come up with their own proposals, and are ready to synergize their development plans with the Belt and Road Initiative. These welcome efforts suggest openness, mutual trust and cooperation will get the better of unilateralism, isolationism and protectionism. And if that is the case, the future holds a lot of promise. The author is deputy chief of China Daily European Bureau. fujing@chinadaily.com.cn         "
"An FTA between China, African nations will boost global trade","2018-09-04","                          Beijing lights up to welcome guests from Africa who are attending the upcoming Forum on China-Africa Cooperation on Sept 1, 2018. [Photo/VCG]   At their meeting in Johannesburg, South Africa, in 2015, African and Chinese leaders set an ambitious goal: raising China's foreign direct investment in stocks in Africa from $32.4 billion in 2014 to $100 billion in 2020 and increasing two-way trade from $220 billion to $400 billion.  The ongoing summit of the Forum on China-Africa Cooperation in Beijing is an ideal occasion for the Chinese and African leaders to review the progress of their ambitious plan and consider injecting, if necessary, institutional expertise to realize the two goals, as well as make China's FDI in Africa and two-way trade sustainable and mutually beneficial. That could also be an essential part of their political declaration and action plan after the conclusion of the FOCAC summit on Tuesday.  Many have suggested that China and African countries, represented by African Union, should launch a feasibility study on free trade and investment facilitation negotiation with the aim of completing the detailed text of the plan before their next summit, and guarantee high-level standards for trade and investment facilitation by 2025.  The China-Africa plan is ambitious considering that, together, the two sides account for one-third of the consumers in the world, though the barriers and difficulties to meet the requirements of the plan are indeed enormous.  Still, the plan is achievable. To begin with, the development stages of China and Africa are complementary-with Africa having huge natural resources and China producing abundant consumer goods. And even though China is still not a fully industrialized country, it is fast catching up with the industrialized world-and to facilitate the process, it has signed free trade agreements with economies such as Iceland, Switzerland, Australia and New Zealand.  On the other hand, the European Union has entered into many FTAs with economies in various stages of development, such as Japan, a developed country, and Vietnam, a developing country. Which shows FTAs need not necessarily be signed between economies at the same level of development.  And for those who doubt China's intentions in its relations with African countries, they should know there is no political game at play in Sino-African trade. Soon after becoming China's president, Xi Jinping visited Africa on his first overseas trip. His first overseas trip this year, in July, too included African countries, which shows the great importance China attaches to Africa in its foreign policy. In return, many African leaders have visited China, because they too want to further synergize the development blueprints of China and African countries.  Moreover, the recent developments in Africa and the rest of the world could prompt China and Africa to consider more ambitious trade and investment plans. Early this year, the African leaders met in Rwanda and signed the Agreement Establishing the African Continental Free Trade Area, which is a landmark pact that could promote African integration amid the de-globalization, isolationist, protectionist policies being adopted-and the bullying tactics used-by certain economies.  If China and the African countries keep sending such positive trade and economic signals by inking an FTA, which would be one of the most sizable in the world in terms of the population, they would inject new vitality into the global economy.  And for the FOCAC summit, which is themed ""China and Africa: Toward an Even Stronger Community with a Shared Future Through Win-win Cooperation"", such an FTA would be a concrete step toward achieving the goal of mutual prosperity by institutionalizing Sino-African economic activities.  The author is deputy chief of China Daily European Bureau.fujing@chinadaily.com.cn         "
"Connectivity holds the key to a better, brighter future","2018-08-28","                          The freight train from Chengdu to Europe has already made more than 2,000 journeys. [Photo provided to China Daily]   Europeans, in general, blame Wall Street's greed for the 2008-09 global financial crisis. A decade since the crisis wreaked havoc across the world, the US administration's ""America First"" policy is once again causing worldwide turmoil.  One of the brightest lights shining in these strange times is the Belt and Road Initiative, which President Xi Jinping proposed five years ago. Back in 2013, the world was gradually recovering from the shocks of the global financial crisis, but global economic recovery was relatively slow. By aiming to boost policy coordination among countries, and expedite connectivity by building and improving infrastructure, the Belt and Road Initiative injected new vitality into the economies of Asia, Europe and Africa and brought them closer, which accelerated the global recovery.  Through this global public good, China wants to make global economic growth sustainable, which is significant considering that China has been contributing about one-third to global growth for a decade.  While boosting its economic strength, China has been inspiring other economies to prosper as well. With its population inching closer to 1.4 billion-much larger than the combined population of the United States, the European Union and Japan-China is on way to become the world's largest economy. And the Belt and Road Initiative will help China achieve that goal.  But that is not the only goal China wants to achieve. Thousands of years of Chinese culture and values have promoted the philosophy of harmony, love, peace, inclusiveness and common prosperity. And those are the values the Chinese leaders abide by, and have been promoting through the Belt and Road Initiative.  In its five years, the Belt and Road Initiative has made tremendous progress and taught many a lesson. The initiative's greatest contribution is that it has been playing the catalyst's role in regional economic development and inspiring other countries to boost their economies.  For example, Greece, which this month exited the EU's eight-year bailout program, aims to become a regional shipping, logistics and tourism hub by using its geographical advantages. And Russia and Mongolia have agreed to dovetail their regional connectivity plans with the Belt and Road Initiative.  Besides, the Czech Republic, Poland and Hungary have been thinking of developing Prague, Warsaw and Budapest into regional financial and aviation centers while synergizing their development plans with the Belt and Road Initiative.  But the other aspects of global development is worrying. In Europe, the implications of Brexit, the US' isolationist and protectionist policies, the threat of terrorism and influx of refugees pose big challenges to the EU.  While China and some other countries have offered possible solutions to many of the existing global problems, some economies are creating new problems, many of which threaten to curb China's peaceful rise.  China has resolutely supported the idea that the solutions to many, if not all, of these problems lie in promoting globalization, reforming the global governance system, and boosting regional development and the multilateral trade system. And all this is possible only through negotiation.  In the past five years, the Belt and Road Initiative has promoted coordination and mutual development with other countries, while following the principle of green, healthy and sustainable development. And although the past half a decade has not been absolutely perfect, it has laid the foundation of peace and prosperity.  In other words, given the increasingly complicated global environment, mutual development through improved connectivity holds the key to a better, brighter future.  The author is deputy chief of China Daily European Bureau.         "
"Not the right time for EU to fall for US trade sop","2018-08-14","                      The surprising announcement of US President Donald Trump and European Commission President Jean-Claude Juncker in July that they intend to establish a zero-tariff trade regime has left many in China worried that the new trade partnership developing across the Atlantic could end up targeting China. Given the intensifying Sino-US tariff war, such concerns would only increase, especially because two senior trade officials from Brussels are scheduled to visit Washington on Aug 20 (unusually sacrificing their summer break) to discuss how the two sides can work toward zero tariffs, and zero subsidies for non-auto industrial goods. But if the new trade alliance Washington and Brussels are trying to work out is not targeted at China, and instead merely aimed at renewing their free trade and investment negotiations, which hit a roadblock after Trump took office in January 2017, there is no reason for Chinese people to be worried. In fact, Brussels has denied the new transatlantic trade partnership is targeted at China. At a meeting with Foreign Minister Wang Yi early this month, EU High Representative for Foreign Affairs and Security Policy Federica Mogherini said the European Union has no intention to adopt any policy or take any action against China. Instead, the EU stands with China in supporting multilateralism and free trade, and regards China as a major and key strategic partner. But since the EU played a pioneering role in shaping the current global governance regime, it must uphold international justice, not follow the rule breakers, at a time when globalization is under attack from protectionist forces. The atmosphere is not conducive to EU officials discussing a zero-tariff trade regime with their US counterparts, especially because the United States has imposed high tariffs on imports from the EU and other economies, especially China that openly opposes protectionism and unilateralism, and strongly supports free trade. True, the World Trade Organization framework allows bilateral talks on free trade and investment facilitation. But the EU officials should have realized this is not the right time to start such negotiations. Equally important, the EU should have involved the member countries, especially the two largest EU economies France and Germany, in the negotiations with the US. Since the 28 member countries of the EU are in different stages of economic development, the bloc as a whole needs the market, complete with its rules, for sustainable development. In manufacturing, for example, France is not as competitive as Germany. And many Central and Eastern European countries, which are still undergoing industrialization, could suffer a heavy blow, in terms of jobs opportunities for example, if US industrial goods were imported by the EU without any tariffs. That is precisely why French President Emmanuel Macron has been reluctant to accept the US-EU statement after the Trump-Juncker meeting. Moreover, even if the US-EU trade and investment talks enter the final stage, the legislative bodies of the EU and its member states may find it difficult to approve the Trump-Juncker proposal. Seemingly, zero tariff and zero non-tariff barrier are beautiful terms for politicians to gain public support. But the average tariff level between the US and the EU is already as low as 3 percent, so the two sides' efforts should only be aimed at lifting non-tariff barriers. The fact that transatlantic trade is mostly about competing against each other, achieving complementarity is difficult. For example, it is unlikely that the EU member states would purchase Boeing aircraft in bulk, and the US airlines would place big orders for Airbus planes. But the US could sell Boeing aircraft and the EU Airbus planes in bulk if they do business with China. The decision is theirs, but they would decide to deepen trade ties with China only if they truly believe in free trade. The author is deputy chief of China Daily European Bureau. fujing@chinadaily.com.cn         "
"Spark the G20 spirit to stop US destroying WTO","2018-07-17","                          The World Trade Organization (WTO) headquarters are seen in Geneva on April 12. [Photo/VCG]   With the global economy being dangerously-threatened and even damaged by unilateralism and trade bullying, the Monday meeting between China and European Union leaders went beyond the bilateral sphere and injected timely impetus into China-EU ties to save the global multilateral trading system from being destroyed by the unilateralism of the United States.  Both China and the EU, which have benefited hugely from free trade and market liberalization for decades, have pledged to take the lead in speeding up reform of the World Trade Organization, the leading global governance regime set up in the aftermath of the World War II, along with the World Bank and International Monetary Fund.  Having evolved from GATT (General Agreement on Tariffs and Trade) reached in 1947, the WTO was born in 1995 and as of now it has 164 members, which produce 98 percent of global trade flows. But this rule-based institution has faced tremendous challenges mainly because the US has unilaterally raised tariffs on the imports from its major trade partners, including China-which entered into the WTO in 2001-the European Union and Japan. The US has even escalated trade tensions with China by warning it will soon impose high tariff on almost half of the imports from China.  And within the WTO, the dispute settlement mechanism, one of the core pillars of the multilateral trading system, has come to a standstill because the US has long blocked the efforts to appoint new judges for the organization's appellate body.  It is normal for the 164 members to have differences but the most important thing is to have such a mechanism as the WTO to stand between complainants and respondents. But now, due to absence of judges, the US has basically made the WTO's dispute settlement body unworkable.  At the same time, with some negotiations such on as e-commerce still going on, the negotiations on rule changes within the WTO have basically slowed down. While, on the other hand, bilateral free trade and regional trade and investment talks have emerged, which is also a challenge that the WTO must face and accommodate.  The joint pledges by China, the world's biggest trading economy, and the EU, a 28-member bloc basically integrated through zero tariffs, to forge a working group to deepen WTO reform are encouraging, as the EU needs quick initiatives and actions to defend it from the attack of the Donald Trump administration.  The Trump administration has already withdrawn the US from several multilateral agreements-on climate change, the Iran nuclear crisis and UNESCO. And it is now challenging the WTO trade system.  So the WTO members must consider that scenario and try to convince the US to return to the negotiation table and multilateral regimes of global governance.  Meanwhile, China and the EU can use the platform of G20, which has already become an effective platform for both rich and emerging economies to coordinate their stances. China and the EU can set an example by standing together to oppose the US' actions and leverage that to convince other major economies to stand together to oppose the unilateralism of the US.  Ten years ago, when the G20 summit mechanism was established amid the economic ravages of the 2008-09 financial crisis, such a coordinating, cooperative and comprising spirit was evident and played an irreplaceable role in limiting the effects of the crisis. Now, it is time to press the emergency button, carry forward that spirit, and take such cooling-down actions again in the global village.  The author is deputy chief of China Daily European Bureau.fujing@chinadaily.com.cn         "
"It's time the EU realized US' anti-free trade characteristics","2018-07-10","                          US President Donald Trump walks on the South Lawn of the White House upon his return from Bedminster, New Jersey, to Washington, July 8, 2018. [Photo/Agencies]   European Council President Donald Tusk's weekly agenda shows he will discuss only routine affairs with US President Donald Trump at the NATO summit in Brussels on Wednesday and Thursday. And there are no signs yet to suggest the European Union and the Trump administration will hold their first summit in the near future.  The reason for Trump's reluctance to hold a US-EU summit could be attributed to his discomfort with the idea of European integration. He even urged France recently to leave the bloc.  Although EU leaders expected a EU-US summit to be held at the earliest given the importance of the Transatlantic Trade and Investment Partnership, Trump didn't show any inclination to do so. Now, even the EU is not pushing forward the TTIP agenda.  Trump visited Brussels in May 2017 but just held a short meeting with top European leaders on the sidelines of the NATO summit. And although he will visit Brussels for the two-day NATO summit again this week, no separate meeting with the EU leaders is scheduled, at least so far. Perhaps because their meeting at the G7 summit in Canada last month was anything but successful, they don't want to go through the same experience again.  But in protocol terms, this is unusual.  The EU boasts 500 million consumers and its collective economic clout is greater than that of the United States. Traditionally, theirs has been the closest partnership in the world; more importantly, such a meeting is necessary when the US president is visiting the EU headquarters.  During my almost eight-year stay in Brussels, it was usual protocol practice for EU leaders to hold meetings with visiting leaders, but Trump has bypassed that practice.  Hopefully, the US and EU officials are comparing last-minute notes to hold a US-EU meeting in Brussels.  Trump will also pay a four-day visit to the United Kingdom, which is busy negotiating Brexit terms with the EU, although Britons are protesting against the US administration. Apparently, Trump will discuss a free trade agreement with UK leaders, even though the UK is forbidden to do so until it leaves the EU.  Trump may be sending a message to the EU that he is playing a balancing game by giving the EU short shrift and attaching importance to the UK. The cooling of relations between the EU and the US is also a setback for global governance.  Since the 2008 global financial crisis, the G20 summits of advanced economies and emerging powers pushed forward global crisis-management measures to reform the global governance mechanism, with the major global players speaking in the same voice on climate change and other burning issues such as the Iran nuclear deal.  Despite the ups and downs, the international community managed to uphold rather fruitful dialogues and agreed to take concerted actions to meet global challenges. And China, the EU, the Barack Obama administration and other major players fulfilled their due roles.  But all that changed after Trump became US president.  Therefore, it's time the EU realized the Trump administration is out to neutralize the results of those joint efforts, by pushing its ""America first"" policy. The EU has always urged China to shoulder more global responsibilities, which the latter has done. And President Xi Jinping has reiterated that China has benefited from reform and opening-up, and thus will protect globalization and free trade.  China has been fighting protectionism and unilateralism not only for its own sake but also to protect the legacy of global governance, which is also in the interests of the EU and the US. So the EU must also fulfill its responsibility of safeguarding the assets and legacy of global governance in fields such as free trade, climate change, healthcare and education.  And to do that successfully, the EU must know which economy represents fairness in trade and which opposes it by launching trade wars.  The author is deputy chief of China Daily European Bureau.  fujing@chinadaily.com.cn         "
"Nation looks to capitalize on year of vital anniversaries","2018-07-03","                      The first six months of this year have been distressful for the world with the Donald Trump administration hellbent on instigating a trade war, especially against China, and destroying the multilateral trading system.  In contrast to the United States' measures, which are isolating it from the international community, other important economies such as China and the European Union have been making sincere efforts to save the global trading system from being subverted by protectionist forces.  The next six months would be critical for the global economy, and economies across the world have to make concerted efforts to neutralize the negative forces, led by the US. Global leaders have to infuse positive energy into world trade, by exchanging ideas and making coordinated moves to reach a consensus on how to not only manage international relations but also make it fairer.  In the next six months, the world will have several occasions to reflect on the triumphs and failures of international relations and the positive role China has been playing to safeguard the world order. For example, in November, Europe will mark the 100th anniversary of the end of World War I (1914-18), which prompted the world to think about building a fair international order.  In September, the world should reflect on what went wrong 10 years ago with Lehman Brothers, whose collapse triggered the global financial crisis, and draw lessons from the failings of Wall Street.  And in December, the leading advanced and emerging economies will hold the G20 Summit in Argentina, the first in Latin America. One hopes they discuss why the global leaders initially didn't take the global financial crisis seriously and reached a consensus to oppose trade protectionism in all its forms. Had they done that, the world would not be in a political and economic mess that we see it in today.  For China, this year marks quite a few important anniversaries.  Aug 8 will mark the 10th anniversary of the Beijing 2008 Summer Olympic Games, which provided China with a chance to present its achievements in different spheres to the international community and show it is working as a catalyst to unite the world.  In September and October in 2013, President Xi Jinping delivered two famous speeches during his visits to Asian countries, which signaled the birth of the Belt and Road Initiative that is now acting as an umbrella of China's diplomacy. The goals of promoting peace and prosperity by achieving mutually beneficial results have since become an integral part of the Belt and Road Initiative, which can be seen as an intellectual contribution of China to the world.  But the most cherished landmark for China is the 40th anniversary of reform and opening-up. The Chinese people are celebrating the anniversary because reform and opening-up have helped them to shake off poverty, land decent jobs and continuously increase their incomes. They have former leader Deng Xiaoping's vision, wisdom and pragmatism to thank for that.  The Chinese are dreaming of a much better future as China's per capita GDP of close to $9,000 shows the country is on way to becoming a truly modern economy by the middle of this century. In fact, Xi has unveiled a blueprint that projects China will become a great, modern socialist country by 2050.  But to achieve the goal, China needs a favorable external atmosphere, as interdependence is integral to globalization.  So, when Chinese leaders meet their counterparts at the BRICS Summit later this month, African leaders in September, and Asian and European leaders in October, and the world's top leaders at the APEC and G20 meetings, they will emphasize that China remains committed to promoting globalization and the multilateral trading system.  Hopefully, after six months, Sino-US trade tensions will disappear and China will be closer to achieving its goals.  The author is deputy chief of China Daily European Bureau.         "
