title,date_published,text
"Huawei victim of Washington's compulsive, obsessive disorder: China Daily editorial",2/26/2019,"                          The logo of Huawei is seen at the Mobile World Congress in Barcelona, Spain February 26, 2019. [Photo/Agencies]   The war waged by the United States against China's telecommunications company Huawei has been absurd from the very beginning. Yet the allegation that Huawei is a cybersecurity risk continues to be bandied about by Washington as if it is a fact, despite even its allies pouring cold water on its claims.  What happened at the world's biggest mobile industry trade fair, which opened in Barcelona on Monday, shows how determined the US is to push its absurdity to the extreme.  The big US government delegation at the show was clearly not there for the purpose of promoting the advancement of the telecom industry worldwide. Instead, it is intent on setting obstacles in its way. The US has seized the opportunity to continue its campaign against Huawei by trying to lean on the attending telecom executives and the government officials so they will turn their backs on the Chinese company.  Resorting to the now discredited claims the Chinese company represents a security concern above and beyond any other network provider, 11 US senators urged the US government on Monday to ban solar power inverters or advanced control systems made by Huawei, alleging that they pose a national security threat to US energy infrastructure. Yet, as before, the US has failed to produce any shred of evidence to support its allegations.  Although the aspersions the US is casting on Huawei are intended to harm the Chinese company, they also harm the interests of the US' international partners, which would otherwise be benefiting from conducting normal cooperation with the company.  As a global telecom giant that leads the world in 5G technology, Huawei could make huge contributions to the industrial development of countries and benefit consumers worldwide with its products. Industry experts have already pointed out countries that yield to the US pressure will be delaying their rollout of 5G by at least two years.  Huawei is clearly under huge pressure from the world's sole superpower, but it will survive the attacks, since it has established trust with its existing customers. It has already stated its willingness to participate in fact-based, risk-assessment reviews, and it has already set up a security risk evaluation center of its own, based in Oxfordshire in the United Kingdom.  It is no secret that Washington's pummeling of Huawei stems from the US administration's intention to suppress China's advancement in science and technology. But there is the possibility that the US administration might finally have caught on to the fact it is trying to flog a dead horse to those seeking a reasonably priced thoroughbred. The US president said last week that he wanted the US to catch up in the 5G race through competition, ""not by blocking out currently more advanced technologies"".  Network operators will be crossing their fingers that this heralds a change of approach. Although, by displaying its paranoia about Huawei, Washington has laid bare just how pathologically it fears losing its perch at the top of the tech tree and how little confidence it has that it can make up the lost ground.         "
US should not let Tsai lead it by the nose: China Daily editorial,2/26/2019,"                          Taiwan's leader Tsai Ing-wen attends a news conference in Taipei April 11, 2018. [Photo/Agencies]   Two US Navy vessels passed through the Taiwan Straits on Monday, less than a week after the island's leader Tsai Ing-wen claimed the Chinese mainland posed a military threat to the island in an interview with CNN. Whatever the rationale the United States might be using to justify the move, Tsai and her followers will very likely try to portray it as the US responding to her claim that the mainland is challenging the island's ""independent existence"".  Both she and Washington know the island has no such thing. It is Tsai who is dangerously playing with fire, emboldened by the ill-considered support offered her by Washington.  Since she took office as leader of the island, Tsai has stubbornly refused to acknowledge the 1992 Consensus that there is only one China and Taiwan is part of it. In doing so, she has plunged cross-Straits relations into their worst crisis in many years.  By holding to their ambition to realize the island's separation from the motherland, Tsai and the Democratic Progressive Party have been losing the support of Taiwan people. The defeat Tsai and her party suffered in the local elections on the island in 2018 speaks volumes about how stranded and isolated they are in their delusion.  Tsai showed how divorced from reality she is, when she announced last week that she would stand for reelection in 2020, despite the vote of no confidence she received in the local elections.  The farther Tsai and her party go in their attempts to separate the island from the motherland the more they distance themselves from the prevailing sentiment among residents on the island, and the more they test the limit of the mainland's tolerance.  The sailing through the Taiwan Straits by the two US naval vessels serves Tsai's purpose, as it helps to obscure the truth of the cross-Straits situation, which is that in seeking to ""finish her agenda"", she is the one who poses the threat to peace and stability.  Provoking the Chinese mainland and exaggerating the threat from it are Tsai's way of trying to shift the blame to the mainland for the consequences of her actions.  In this endeavor, it is important for Tsai that she has recourse to the US, as she needs it to bolster her bravado.  Washington knows what Taiwan means to the Chinese mainland, and therefore, it should understand the high hopes that Tsai pins on it. It should not get dragged into Tsai's schemes, as US-China relations will be the collateral damage if it blithely colludes with her artifice.         "
Crucial support for change in peninsula situation: China Daily editorial,2/25/2019,"                          US President Donald Trump and the DPRK's top leader Kim Jong-un walk together before their working lunch during their summit at the Capella Hotel on the resort island of Sentosa, Singapore, June 12, 2018. [Photo/Agencies]   As Democratic People's Republic of Korea top leader Kim Jong-un and United States President Donald Trump prepare to meet in Hanoi on Wednesday and Thursday, it is worth reflecting on what has been achieved since Pyongyang and Seoul first broke the ice ahead of the 2018 Winter Olympics in the Republic of Korea in February last year.  Even the most skeptical would have to admit that the whirlwind series of meetings after that initial thaw in relations — which included two meetings between Kim and President Xi Jinping, and culminated in the historic first meeting between the sitting leaders of the DPRK and US in Singapore in June — was really quite remarkable.  Despite any claims to the contrary, there has been a sea change in the Korean Peninsula situation over the past year.  It is now up to Kim and Trump to keep the good momentum going and make the doomsayers eat their words by producing some end product in Hanoi.  Of course, goodwill will need to be reciprocal for that. Prior to his departure for Hanoi, Trump said he was in no rush and had no pressing schedule for Pyongyang's denuclearization, suggesting a more accommodative position on the more gradual approach that the DPRK has long favored. He has also signaled a possible softening of his stance on sanctions, saying they could be removed if there is meaningful progress on denuclearization.  Kim, on his part, said in his New Year speech that he wanted ""corresponding practical actions"" from the US.  All this has built up expectations that the two leaders will agree on concrete actions that can bridge the deep-rooted animosity and mistrust that have long existed between the two arch enemies.  But the crux of the Korean Peninsula nuclear issue remains the security guarantee that Pyongyang seeks and which Washington has refused to give. If that guarantee is forthcoming and the US is willing to assist the DPRK in its efforts to promote economic development, beginning with the lifting of sanctions, there is no reason for Pyongyang not to focus on needed economic development.  It has not been easy for the Korean Peninsula peace process to have got this far, and China has been making great efforts to sustain the momentum that had been threatening to stall. Trump acknowledged this in a tweet on Sunday when he said Xi has ""been very helpful in his support"" of the Hanoi meeting.  China hopes Pyongyang and Washington will seize this opportunity to further promote peace and stability on the peninsula.         "
UK has more than enough reason to maintain good ties with China: China Daily editorial,2/24/2019,"                          The London skyline seen from Victoria Tower at sunset. [Photo/VCG]   That a Chinese foreign ministry spokesman said on Friday that a visit by British Chancellor of the Exchequer Philip Hammond is welcome sends a positive message about the country's willingness to have sound relations with the United Kingdom.  Clearly Downing Street has done enough to smooth over the remarks of British Defense Secretary Gavin Williamson early this month about sending the UK's new aircraft to the South China Sea, which former Conservative chancellor George Osborne rightly described as ""gunboat diplomacy of a quite old-fashioned kind"".  Sending a warship to the Pacific is of no strategic importance to the UK, except to send a message to the United States that it is still its close ally and will follow where it leads. It may also harbor the belief that sending its naval white elephant to parade up and down the South China Sea -- as part of what the US likes to call freedom of navigation missions -- somehow recalls the days when the Royal Navy granted the UK an overbearing sense of self-importance.  China has reiterated time and again that it has done nothing to restrict freedom of navigation in the waters and it has no intention of doing so. But Western navies seem to view the sea as a playground in which they can intimidate China.  The UK's willingness to be part of the gang showing the West's military muscle in the South China Sea will undoubtedly be detrimental to its otherwise close economic ties with China, which will not tolerate any move by any country to challenge its sovereignty and territory integrity.  British exports to and imports from China hit a record high in 2017. China was Britain's sixth largest export market that year with sales worth 22.3 billion pounds ($29.15 billion), and its fourth largest source of imports worth 45.2 billion pounds, according to the House of Commons Library.  Given the current difficulties the UK faces with its shilly-shallying over the best way to leave the European Union, and the real possibility of a no-deal exit looming ever closer, Downing Street should well know how important sound ties with China are.  To maintain healthy bilateral ties with non-EU countries is the best way for the UK to navigate itself out of the difficulties of its own making. It should be giving ties with China, the world's second largest economy, an important position in its diplomacy.  And since China and the UK both advocate free trade and multilateralism, there is a good foundation for the two countries to build on.  But that calls for more discerning diplomacy from the Downing Street, otherwise it will continue to shoot itself in the foot.         "
Extended talks raise hopes there's a deal in the offing: China Daily editorial,2/24/2019,"                          A fresh round of high-level economic and trade talks between China and the US is held the Eisenhower Executive Office Building of the White House in Washington DC, the US, on Feb 21, 2019. [Photo/Xinhua]   The extending of the talks between China and the United States to resolve their trade and economic frictions will hopefully give substance to the optimism expressed by both sides that they can reach a deal.  US President Donald Trump, senior US officials, and Vice-Premier Liu He, the special envoy of President Xi Jinping, who is heading the Chinese delegation, all expressed the belief on Friday that the two sides have made significant progress toward reaching a comprehensive agreement that will put an end to the current trade standoff.  It is to be expected that the discussions at this stage will be the toughest test yet for the two teams of negotiators, and their task is not one to be envied. However, the unscheduled two-day extension to their discussions indicates that tangible headway is being made in their joint efforts to find a mutually acceptable way to resolve their differences and put an end to their quarrel.  Given what was said on Friday, it seems the talks have gone more deeply and extensively into the bilateral relationship than either side initially anticipated. As US President Donald Trump observed, ""we're covering things that we didn't even know we'd be covering.""  So the fact that the to-and-fro is still in progress this far down the line highlight that there is a shared desire to secure an accord that delivers on the rapport that has been established — also perhaps beyond both side's expectations.  But it would be getting ahead of the situation to consider the final push toward a consensus on principled, mutually beneficial cooperation all done and dusted. That consensus, which President Xi identified as the objective of the talks when he met with the US negotiators after the previous round of negotiations in Beijing, has still not been completed, and probably will not be until the two leaders meet to agree on the final details. But there is no doubt that both sides are aware of how momentous such a consensus would be, beyond the tangible rewards it would offer both countries. For if the two sides can iron out their core differences by abiding by the principles of mutual respect and mutual benefit, it would reset their relationship in a way that would bode well for the future.  History in the past four decades shows that the two countries benefit in an all-around way from harmonious trade and economic relations, as they provide the ballast for their relationship.  There is obviously still more work to be done. However, if neither side puts a foot wrong, a deal will finally be signed sooner or later.            "
No block to future a smarter approach: China Daily editorial,2/22/2019,"                          [Photo/VCG]   Time and tide wait for no one. And neither does technology as we rush pell-mell toward a brave new world of artificial intelligence and things talking to things.  And there is much to be gained, economically and otherwise, by being able to rule this much-heralded smart roost.  As the White House has put it: In the information age, the nation that leads the world in wireless technology wins.  Which is why it has been trying to incapacitate China's 5G technology leader Huawei.  Even though, as Andreas Maierhofer, the CEO of T-Mobile Poland, said at a news conference on Thursday, excluding Huawei, which is the market leader in 5G technology, will delay the ushering in of next generation wireless networks.  Which is why the United Kingdom, New Zealand and Germany have snubbed Washington's invitation to join it in its efforts to debilitate Huawei. It is not, as the United States seems to believe, because of its allies' lack of allegiance, but rather their practical needs to embrace the new technology, for which the United States can offer no substitute provider.  That Washington cannot recommend any US companies that can step into the breach is a cause of extreme concern to it, and that is at the heart of its complaints against Huawei and its attacks on China's technology and innovation drive.  However, against this background of competition, it seems the intensive discussions between the US and China over the past two and a half months, may have enabled the US to heed at least a little reason. On Thursday, US President Donald Trump set out a more fair-minded approach by tweeting that the US should win leadership in 5G through competition, ""not by blocking out currently more advanced technologies"".  Although it is perhaps too early to anticipate an end to the US attacks on Huawei, the tweet is an encouraging sign to all parties that change might be in the air.  Hopefully, having realized that fair competition is better than resorting to underhand tricks to hobble a rival, Washington will be able to go one step further, and turn what it views as a crisis into what it really is — an opportunity to strengthen cooperation in technology and innovation with countries, including China, so as to create new impetus for shared development and mutual benefits.  As the world stands ready to step across the threshold into the world of 5G; this is no time to be squabbling over who goes first, countries should embrace the imminent arrival of ubiquitous connectivity as an opportune time to become closer to one another rather than turning it into a divisive moment.  However, that is to optimistically look ahead and still far removed from things as they stand, because until there is some noticeable convergence between the sentiment in Trump's tweet and his administration's practice, Huawei is likely to remain disappointed even in its hope for ""real competition"", never mind cooperation.         "
Australia's anti-China stance proves fertile ground for racism: China Daily editorial,2/21/2019,"                          Senator Barry O'Sullivan looks on as the debate takes place on the marriage equality bill in the Senate at Parliament House on November 29, 2017 in Canberra, Australia. [Photo/VCG]   Except for himself, no one knows what triggered Australian Nationals' senator Barry O'Sullivan's outburst of racial invective against the Chinese on Tuesday. During a Senate estimates hearing over the proposed Biosecurity Imports Levy in Canberra, O'Sullivan declared that ""some bloody old Chinaman"" bringing in ""his favorite sausage down the front of his undies"" poses more risk to Australia's biosecurity than levy-paying importers.  Such disgusting remarks, which are definitely unacceptable in any civilized society, have naturally sparked the ""sternest"" condemnation from the Chinese embassy in Australia. Even the Australian Human Rights Commission's race discrimination commissioner has termed O'Sullivan's comments as ""racially derogatory"", and said they would be ""offensive and insulting to many Australians, including more than 1.2 million Australians of Chinese heritage"".  But this is not the first time that O'Sullivan has courted controversy with such offensive remarks. He has previously been criticized for making sexist comments about a Greens senator, and sparked outrage for voicing an ""appalling and offensive"" slur against people with autism. The fact that the prejudiced politician can continue staging ugly political stunts by going to the extremes throughout the years is a disgrace to democracy, and reflects an ugly side of Australia's political culture.  But it is not completely coincidental that racial filth like that made by O'Sullivan should make its way into Australia's major political arena. Canberra's increasingly anti-China stance, especially after it introduced national security laws to guard against what it perceives as China's growing influence in Australia's politics, academia and media, has certainly fanned xenophobia that targets China and the Chinese people.  Australia's decision to block Chinese telecommunications giant Huawei from supplying equipment to its 5G broadband network, and allusions by some Australian media and politicians that China is the ""state actor"" behind the recent hacking of the networks of Australia's major political parties indicate how closely Canberra is trying to toe the line set by Washington, even at the cost of its relations with China.  This sounds absurd to any person of reason, for China has never done any harm and poses no threat to Australia. As its largest trading partner, China is the top importer of Australia's iron ore, liquefied natural gas and many other resources, which is mutually beneficial to the economic growth of both countries.  Given his outrageous political history, it might not be realistic to expect O'Sullivan to mend his ways and behave civilly. But it is still not too late for Canberra to rethink its policy toward China to avoid causing more damage to bilateral relations.         "
Tsai paints false picture of situation in Asia: China Daily editorial,2/21/2019,"                          Taiwan leader Tsai Ing-wen speaks during a news conference in Taipei, Taiwan, China, Jan 5, 2019. [Photo/Agencies]   Taiwan leader Tsai Ing-wen's warning that the Chinese mainland poses a threat to Asia is nothing more than her whistling past a graveyard.  Speaking to CNN this week, she said that if countries in the region were not willing to submit to the will of the Chinese mainland they would face similar threats to those made against the island.  It is preposterous for Tsai to describe the Chinese mainland as being despotic in its relations with its Asian neighbors, and to imagine that in doing so those countries will stand behind her pro-independence stance.  By trying to portray herself as standing in the front ranks of those resisting a threat from the Chinese mainland, she was painting a picture of the situation in Asia that does not exist.  The true picture, which she is trying to obscure, is that her administration is becoming increasingly isolated in the world.  Indeed, it is not only internationally, Tsai and the Democratic Progressive Party are also losing their support on the island as well. It is only in the picture she is painting that the Chinese mainland is a threat. But having alienated Beijing with their insistence on Taiwan independence, Tsai and the DPP are now reaping the consequences of their actions.  The trouncing she and the DPP suffered in the local elections in 2018 points to the fact that Taiwan people are fed up with her policy of estranging the island from the Chinese mainland.  Yes, the Chinese mainland has never excluded and it will never renounce the option of using military means to realize reunification. But that does not pose a threat to the Chinese compatriots on the island, only to those secessionists who harbor the ill intention of splitting the island from the motherland.  It is Tsai's refusal to recognize the 1992 Consensus that there is only one China and Taiwan is part of China that has spoiled the otherwise good relations across the Taiwan Straits since her election as the leader on the island in 2016.  Tsai has declared that she will stand for reelection in 2020. But she should know that she will hardly be accepted by the Taiwan people unless she changes her stance and acknowledges the one-China principle, as this is the only way any leader on the island can ensure economic prosperity and social progress for the people on the island.  In her interview with CNN, Tsai said she wanted to ""complete"" her vision for Taiwan. But her lack of support on the island, and even within the DPP, shows how out of touch with reality she is.         "
Decisive talks must be forward-thinking: China Daily editorial,2/20/2019,"                          [Photo/VCG]   China and the United States began their latest round of trade talks in Washington on Tuesday, with principal-level discussions led by Vice-Premier Liu He, who is President Xi Jinping's special envoy, and US Trade Representative Robert Lighthizer and Treasury Secretary Steven Mnuchin scheduled for Thursday and Friday.  The negotiations, which follow those in Beijing last week — after which both sides claimed that progress had been made — will hopefully demonstrate the two countries have the shared desire and sincerity to make a final push to prevent their dispute from escalating.  Both sides should cherish the narrowing of their differences that has been achieved, as it has involved more than just the picking of low-hanging fruit.  So far, the markets have been quite optimistic about the prospects of a deal. Especially, after US President Donald Trump sent a conciliatory signal by saying he might extend the March 1 deadline that would trigger further tariffs on Chinese imports if the two sides are near agreement.  But as the recent series of talks have shown, it would be naive to think that such a Gordian knot of differing goals and ambitions will be simple to unravel, especially as the discussions are now about the most divisive and touch-a-nerve issues.  Since the consensus was reached between Xi and Trump on Dec 1 that the two sides should talk through their issues as it was in both countries' interests, an outline for future relations has begun to take shape. And there is clearly the potential for those looking back on these talks from the future to see them as milestone moment in relations between the two countries, whether for better or worse.  Those without an ideological ax to grind will be hoping it is the former. However, any agreement will only be workable if both sides are rational and pragmatic about the other's concerns and interests; it cannot be exclusively beneficial to only one party.  Which means that Washington needs to be realistic about what China can and cannot do. If a deal is not to come apart at the seams as soon as it is struck it will need to take into account the bigger picture. Not least the fact that Washington may be able to hobble China's development to some degree or other but it will not be able to stop it. Reaching a mutually acceptable deal is also the most beneficial outcome for the US.  Both sides, therefore, should adhere to a problem-solving approach this week and continue to seek to strengthen their mutual trust. Because one thing that has been gained so far is a better understanding of one another. They now need to leverage that into the discernment of knowing that friendly relations serve both their interests best.         "
Promise of 'exciting' summit raises hopes of real peace: China Daily editorial,2/20/2019,"                          US President Donald Trump and DPRK's top leader Kim Jong-un walk together before their working lunch during their summit at the Capella Hotel on the resort island of Sentosa, Singapore, June 12, 2018. [Photo/Agencies]   Since last year, after the leaders of the two Koreas first set it in motion, a strong momentum of conciliation and engagement has eased the tensions over the Democratic People's Republic of Korea's nuclear issue.  True, since last year's historic meeting with DPRK top leader Kim Jong-un in Singapore, US President Donald Trump has been under growing pressure at home, as critics say the meeting produced little of substance. And Kim had just begun to show a little impatience that his signaled change of focus from the development of nuclear weapons to economic development had not been met with accommodative actions from Washington until his request for a second meeting was met.  Dialogue between the two long antagonistic countries is clearly the way to put an end to their acrimony. So the fact that both sides have shown patience and good faith offers some reassurance that their get-together was not just a flash-in-the-pan meeting-of-minds and that fresh impetus can be attained in their upcoming face-to-face talks.  But concrete outcomes from their meeting — due to take place in Hanoi, Vietnam, next week — will be crucial to keep the process of engagement on track and moving forward.  It is to be hoped, therefore, that Trump's remark on Tuesday that he had ""no pressing time schedule"" for results on denuclearization are an acceptance that denuclearization will be a step-by-step, tit-for-tat process rather than a bid to exert pressure on Pyongyang by suggesting Washington can play a longer game.  Admittedly, his prediction that it would be ""very exciting"" suggests that something is in the works, with the possibility of a peace deal being mooted. Which would certainly be a historic achievement, and a very welcome one at that. The use-by date on the armistice that brought a cessation to the fighting on the peninsula in 1953 should have expired long ago with a final peace settlement.  Yet it is also to be hoped that by saying he is in ""no rush"", he does not intend to drag the process out and keep the bad blood simmering so that Washington can continue to claim there is a threat from Pyongyang as justification for its overbearing military presence in the region and for housing its missile defense systems in the Republic of Korea and Japan.  Whatever he might have meant, however, there are expectations that next week's meeting will reward the efforts of the international community, notably the ROK and China, to end the antagonism between the US and the DPRK through conciliation.  Given the complexity of the DPRK nuclear issue, it is unrealistic to anticipate the goal of denuclearization can be met through a couple of high-level meetings. But it is surely not too much to hope the two sides can keep the denuclearization ball visibly moving with some tangible give and take.         "
