"title","date_published","text"
"Crucial support for change in peninsula situation: China Daily editorial","
            
          chinadaily.com.cn |
            Updated: 2019-02-25 22:04
          ","                          US President Donald Trump and the DPRK's top leader Kim Jong-un walk together before their working lunch during their summit at the Capella Hotel on the resort island of Sentosa, Singapore, June 12, 2018. [Photo/Agencies]   As Democratic People's Republic of Korea top leader Kim Jong-un and United States President Donald Trump prepare to meet in Hanoi on Wednesday and Thursday, it is worth reflecting on what has been achieved since Pyongyang and Seoul first broke the ice ahead of the 2018 Winter Olympics in the Republic of Korea in February last year.  Even the most skeptical would have to admit that the whirlwind series of meetings after that initial thaw in relations — which included two meetings between Kim and President Xi Jinping, and culminated in the historic first meeting between the sitting leaders of the DPRK and US in Singapore in June — was really quite remarkable.  Despite any claims to the contrary, there has been a sea change in the Korean Peninsula situation over the past year.  It is now up to Kim and Trump to keep the good momentum going and make the doomsayers eat their words by producing some end product in Hanoi.  Of course, goodwill will need to be reciprocal for that. Prior to his departure for Hanoi, Trump said he was in no rush and had no pressing schedule for Pyongyang's denuclearization, suggesting a more accommodative position on the more gradual approach that the DPRK has long favored. He has also signaled a possible softening of his stance on sanctions, saying they could be removed if there is meaningful progress on denuclearization.  Kim, on his part, said in his New Year speech that he wanted ""corresponding practical actions"" from the US.  All this has built up expectations that the two leaders will agree on concrete actions that can bridge the deep-rooted animosity and mistrust that have long existed between the two arch enemies.  But the crux of the Korean Peninsula nuclear issue remains the security guarantee that Pyongyang seeks and which Washington has refused to give. If that guarantee is forthcoming and the US is willing to assist the DPRK in its efforts to promote economic development, beginning with the lifting of sanctions, there is no reason for Pyongyang not to focus on needed economic development.  It has not been easy for the Korean Peninsula peace process to have got this far, and China has been making great efforts to sustain the momentum that had been threatening to stall. Trump acknowledged this in a tweet on Sunday when he said Xi has ""been very helpful in his support"" of the Hanoi meeting.  China hopes Pyongyang and Washington will seize this opportunity to further promote peace and stability on the peninsula.         "
"Promise of 'exciting' summit raises hopes of real peace: China Daily editorial","
            
          chinadaily.com.cn |
            Updated: 2019-02-20 21:59
          ","                          US President Donald Trump and DPRK's top leader Kim Jong-un walk together before their working lunch during their summit at the Capella Hotel on the resort island of Sentosa, Singapore, June 12, 2018. [Photo/Agencies]   Since last year, after the leaders of the two Koreas first set it in motion, a strong momentum of conciliation and engagement has eased the tensions over the Democratic People's Republic of Korea's nuclear issue.  True, since last year's historic meeting with DPRK top leader Kim Jong-un in Singapore, US President Donald Trump has been under growing pressure at home, as critics say the meeting produced little of substance. And Kim had just begun to show a little impatience that his signaled change of focus from the development of nuclear weapons to economic development had not been met with accommodative actions from Washington until his request for a second meeting was met.  Dialogue between the two long antagonistic countries is clearly the way to put an end to their acrimony. So the fact that both sides have shown patience and good faith offers some reassurance that their get-together was not just a flash-in-the-pan meeting-of-minds and that fresh impetus can be attained in their upcoming face-to-face talks.  But concrete outcomes from their meeting — due to take place in Hanoi, Vietnam, next week — will be crucial to keep the process of engagement on track and moving forward.  It is to be hoped, therefore, that Trump's remark on Tuesday that he had ""no pressing time schedule"" for results on denuclearization are an acceptance that denuclearization will be a step-by-step, tit-for-tat process rather than a bid to exert pressure on Pyongyang by suggesting Washington can play a longer game.  Admittedly, his prediction that it would be ""very exciting"" suggests that something is in the works, with the possibility of a peace deal being mooted. Which would certainly be a historic achievement, and a very welcome one at that. The use-by date on the armistice that brought a cessation to the fighting on the peninsula in 1953 should have expired long ago with a final peace settlement.  Yet it is also to be hoped that by saying he is in ""no rush"", he does not intend to drag the process out and keep the bad blood simmering so that Washington can continue to claim there is a threat from Pyongyang as justification for its overbearing military presence in the region and for housing its missile defense systems in the Republic of Korea and Japan.  Whatever he might have meant, however, there are expectations that next week's meeting will reward the efforts of the international community, notably the ROK and China, to end the antagonism between the US and the DPRK through conciliation.  Given the complexity of the DPRK nuclear issue, it is unrealistic to anticipate the goal of denuclearization can be met through a couple of high-level meetings. But it is surely not too much to hope the two sides can keep the denuclearization ball visibly moving with some tangible give and take.         "
"Optimistic about Kim-Trump summit","
            By  Hujjatullah Zia  | 
          chinadaily.com.cn |
            Updated: 2019-02-26 14:41
          ","                          US President Donald Trump meets with DPRK's top leader Kim Jong-un on Sentosa Island, Singapore on June 12, 2018. [Photo/IC]   With the second summit between Kim Jong-un and Donald Trump slated for February 27-28, there is hope the two sides will make further headway. But it will not yield a positive outcome if Washington pushes for “permanent, irreversible, verifiable” denuclearization and Pyongyang insists on lifting sanctions.  Since the first meeting, held in June in Singapore, the vaguely worded agreement signed between the two sides for denuclearization was proved abortive despite the statement made in the UN Security Council by US Secretary of State Mike Pompeo that “Chairman Kim committed to work towards the complete denuclearization of the Korean peninsula”. Kim fears “Vietnam model” denuclearization seeking a step-by-step quid pro quo.  With this in mind, a trust deficit still lingers between Pyongyang and Washington. On the one hand, the US side seems skeptical of Democratic People’s Republic of Korea’s seriousness about denuclearization and, on the other hand, Kim doubts the bona fide intention of Trump’s administration for pursuing a tit-for-tat deal. Building mutual trust is believed to be a prerequisite for reaching a fruitful consensus.  It is evident that seeking a package agreement and once-for-all denuclearization in one meeting or two is neither reasonable nor possible. It is unlikely to include all the prerequisites and conditions of denuclearization and Pyongyang’s demands, such as withdrawal of US troops from the Republic of Korea, the lifting of sanctions and guaranteeing the security of the DPRK, in a single package. Thus, a “phased” and “synchronous” approach will be promising.  For instance, the Trump administration seems unwilling to include a quick withdrawal of US troops from ROK in the talks but expects Kim to dismantle his nuclear arsenal “very quickly”, as he told reporters immediately after the Singapore summit.  In the upcoming summit, the negotiating sides have to chart a clear roadmap to delineate the process of denuclearization and lifting of sanctions as well as the demands and responsibilities of each side.  Regional stakeholders expect a more positive outcome of the summit and want both sides to reach an effective consensus. “For example, for DPRK to agree to international monitors checking and reporting on its nuclear weapons and facilities; and for the US to agree partially lift sanctions,” Cheng Xiaohe, a professor of Korean studies at Renmin University, is cited as saying. He reiterated Beijing’s support for the summit, which is a key step towards regional stability.  Overall, the Hanoi Summit will be productive for two reasons. First, from harsh rhetoric and Trump’s “fire and furry”, the two sides sit face-to-face to resolve the insurmountable issue through negotiations. Such reconciliatory approach will put an end to the cold war and mitigate regional stability.  Second, the two sides are hoped to reach an agreement on denuclearization process, lifting sanctions on DPRK, formal ending to the 1950-53 Korean War, giving security guarantees to the DPRK, and establishing new relations between the US and DPRK. Although it is unlikely to have all these issues in a single package in one meeting or two, this summit will be one more step forward to decreasing the cold war mentality as well as regional instability.  Some political pundits call the Hanoi meeting “make-or-break summit” as they doubt its fruition. However, I believe that the summit will bring US and DPRK closer and create more room for optimism and better relations between the two sides. I emphasize that all the issues will not be finalized in this summit and US President and DPRK’s Chairman have to schedule a next summit for finalization.  Meanwhile, if the issues are too controversial, which may hamper them from reaching a consensus, the two sides have to consider engaging regional stakeholders in the talks. For example, China and Russia played essential role in brokering talks between Seoul and Pyeongyang and can continue their role, if they are demanded, to put their weight behind the talks.  An inclusive negotiation with the participation of regional stakeholders will lead to a more sustainable and trustworthy agreement. Moreover, the international community has to push for an inclusive consensus between the US and ROK on the one side and DPRK on the other side and make sure the agreement is practiced by all sides.  The author is an Afghan journalist and freelance writer.  The opinions expressed here are those of the writer and do not necessarily represent the views of China Daily and China Daily website.         "
"Here's hoping Trump-Kim summit can deliver the goods: China Daily editorial","
            
          chinadaily.com.cn |
            Updated: 2019-02-10 20:37
          ","                          US President Donald Trump and DPRK's leader Kim Jong-un walk together before their working lunch during their summit at the Capella Hotel on the resort island of Sentosa, Singapore, June 12, 2018. [Photo/Agencies]   It has been confirmed a second summit between United States President Donald Trump and Democratic People's Republic of Korea top leader Kim Jong-un will take place on Feb 27-28 in Hanoi, Vietnam.  Congratulations to both parties for taking another step toward ending one of the world's most dangerous standoffs and the ultimate goal of denuclearizing the Korean Peninsula.  If the pending summit does end up sustaining the reportedly productive momentum of the preparatory negotiations, it will be remembered for laying solid groundwork for the critical next steps needed for the denuclearization process.  There appears to be a real need on both sides for the negotiations to move forward in order for such engagement to continue making sense. Which is no doubt why the two parties seem to be diligently working together to present something truly deliverable.  Trump, though he tends to on most things, sounds very optimistic about the upcoming meeting. ""North Korea, under the leadership of Kim Jong-un, will become a great Economic Powerhouse … a different kind of Rocket — an Economic one!"" he tweeted. The change-of-tone twist on an earlier tongue-in-cheek remark suggesting the two sides are at least talking cordially and respectfully to one another.  But while the DPRK economy may indeed take off, it is unlikely to do so without a complete thaw in US-DPRK relations. Only then will Pyongyang be able to concentrate on developing the national economy, without having to worry about external security threats. And such a thaw is unlikely to materialize unless the current state of war is formally put to an end and the shadow of nuclear threats are removed. On these will hinge what Trump and Kim can deliver in Hanoi.  Stephen Biegun, the US special representative for the DPRK, made an important point the other day on his return from ""productive"" preparatory talks in Pyongyang, ""We have some hard work to do with the DPRK between now and then."" Since he reportedly discussed specific disarmament steps that the DPRK could promise at the Vietnam summit and corresponding measures the US would be willing to take, the bargaining on who will do what in return for what seems to be getting down to the necessary nitty-gritty.  And if the ""set of concrete deliverables"" for the second summit he reportedly discussed with DPRK officials did include Trump's readiness to officially conclude the Korean War, then perhaps we should join Trump in being optimistic about the summit, since that would show the White House is indeed committed to transforming US-DPRK ties and building lasting peace on the Korean Peninsula.  So let's extend our best wishes that the preparatory negotiations are both smooth and productive, and the Hanoi summit proves a success. For peace and stability in the region some concrete outcomes would certainly be most welcome.         "
"Defense radar plan puts regional stability at risk: China Daily editorial","
            
          China Daily |
            Updated: 2019-01-30 22:38
          ","                          US President Donald Trump and DPRK's leader Kim Jong-un walk together before their working lunch during their summit at the Capella Hotel on the resort island of Sentosa, Singapore, June 12, 2018. [Photo/Agencies]   In another provocative move that may further complicate regional security and even spark a new arms race among major powers, the United States is reportedly mulling a plan to deploy a new stationary radar — the Homeland Defense Radar — in Japan to help reinforce the US system aimed at intercepting intercontinental ballistic missiles targeting US territories.   The US already boasts the world's most advanced land-based anti-ballistic missile system, with missiles deployed in Alaska and California to intercept attacks. Yet in the Missile Defense Review released on Jan 17, US President Donald Trump still expressed the intention to reinforce that system, citing threats of intercontinental ballistic missile attacks by Russia, China and the Democratic People's Republic of Korea. The radar deployment is just part of that plan.  Building unrivaled and unmatched military supremacy for the US has been in Trump's mind ever since he came to office. His professed military buildup ambition includes a dramatic increase in US nuclear stockpiles and building a Space Force to turn space into a war-fighting domain like the land, air and sea. His threat to withdraw from the 1987 Intermediate-Range Nuclear Forces Treaty risks undoing all disarmament efforts the world has witnessed over the past decades.   But the claim these moves are in response to military threats to the US is absurd. No country poses any danger to the world's sole superpower, whose military spending is more than that of all other major countries combined.  But hyping up threats from real and imagined adversaries has been a pretext Washington likes to use to seek uncontested military domination in the world. In 2017 it used the threat of missile attacks from the DPRK to install its Terminal High Altitude Area Defense antimissile system in the Republic of Korea, breaking the existing military balance in the region.   The situation on the Korean Peninsula has improved markedly since last year. A historic summit was held between Trump and DPRK leader Kim Jong-un, with both leaders expressing their commitment to denuclearization and ending decades of hostilities.  Since both countries are working for peace on the peninsula, the radar plan seems out of place, it will only do a disservice to the ongoing detente and trust building and may even derail efforts to make the region nuclear free.   History proves that seeking unilateral and absolute security at the cost of the security of other countries will only trigger an arms race, which in return will cause more instability and make the world a more dangerous rather than a safer place. Washington must abandon its Cold War mentality and stop its aggressive moves for the good of peace and stability in the region.         "
"Trump-Kim meeting must avoid going round in circles: China Daily editorial","
            
          chinadaily.com.cn |
            Updated: 2019-01-20 21:16
          ","                          US President Donald Trump shakes hands with DPRK's leader Kim Jong-un at the Capella resort on Sentosa Island Tuesday, June 12, 2018 in Singapore. [photo/IC]   There is no guarantee that the announced second meeting the top leaders of the United States and the Democratic People's Republic of Korea will produce anything substantive, or live up to either side's – or the rest of the world's – expectations.  But that should not prevent us from accepting the upcoming summit between US President Donald Trump and DPRK leader Kim Jong-un as another step forward. At least in the sense of keeping the denuclearization process alive.  Despite worries that the United States president's eagerness for a ""win"" may undermine US strategic interests, it may be essential for opening up a new phase featuring meaningful interaction.  Trump needs something worth boasting about as he is under pressure from the partial government shutdown over the funding for his wall on the border with Mexico and the ""Russian connection"" investigation. But Kim also needs a positive outcome, as the DPRK's economy continues to suffer under United Nations sanctions, which simultaneously constrain his rapid détente with the Republic of Korea.  Considering that shared eagerness, the question then becomes whether, or to what extent, Trump and Kim can break the current stalemate at their coming summit.  That the US president agreed to a second summit following a face-to-face meeting with the DPRK's top denuclearization negotiator Kim Yong-chol should be a signal he at least has an idea about what the next steps will be. A second summit ending without any tangible outcomes will put himself in an even more awkward position.  But for this meeting to be productive, the two parties will have to demonstrate a shared political will to get real about what they promised last time.  Things may easily return to the apparently circular quarrel over what constitutes meaningful moves, or reciprocity. That is precisely what this summit should strive to tackle. Without breaking that endless circle, denuclearization negotiations will go nowhere.  For the summit to be worthwhile, the two leaders must make serious endeavors to bridge the gap between their governments' stances on how denuclearization should proceed. Washington's desire for swift, independently verifiable, irreversible denuclearization has proven unrealistic. Pyongyang's calls for reciprocity remain unanswered.  Since Pyongyang has gone the extra mile to prove its sincerity, Washington must consider beginning to reciprocate.  Since denuclearization of the Korean Peninsula appears increasingly likely to be a phased process, it would do no harm to any party for that process to start with the formal ending of the nominal state of war.  That is a very low-cost way to attain a feat of potentially historic importance.         "
"Beijing's role in peninsula process unvaryingly positive: China Daily editorial","
            
          China Daily |
            Updated: 2019-01-09 22:05
          ","                      Kim Jong-un spent his 35th birthday in Beijing. It was the Democratic People's Republic of Korea leader's first trip abroad in 2019, and he is the first foreign leader Chinese President Xi Jinping has received this year.  In an unprecedented break from Kim's previous visits — this was his fourth to China in 10 months — both the DPRK and China confirmed the visit as it took place.  But even before any additional official information has been received, there has been plenty of wondering, guessing and speculating regarding Kim's latest China visit. Not only because United States President Donald Trump just declared his second summit meeting with Kim may materialize soon, but also because the DPRK leader just threatened to pursue a ""new path"" should the US fail to respond to his country's gestures of goodwill. And because the trip coincided with a critical round of China-US trade negotiations in Beijing. No wonder 9 of the 10 questions the Chinese Foreign Ministry spokesman took on Tuesday were about Kim's visit.  The US president has tweeted occasional complaints about Beijing not being sufficiently efficient in persuading Pyongyang to denuclearize. But even US Secretary of State Mike Pompeo acknowledged on Monday that, ""China has actually been a good partner in our efforts to reduce the risk to the world from North Korea's nuclear capability."" With the Chinese Foreign Ministry spokesman summing up China's role as always being ""a positive one"".  Considering the traditional closeness between the Chinese and DPRK leaderships, there is nothing unusual if the two parties compare notes and coordinate positions on matters of common concern. Such a visit is in line with Kim's New Year's Day address, which highlighted ""strategic communication and cooperation with socialist countries"". His three past visits to China occurred prior to his first meeting with Republic of Korea President Moon Jae-in, as well as before and after meeting Trump.  But no observation should overlook the DPRK leader's ambition to boost his country's economy. During his March 2018 visit, Kim visited a Chinese Academy of Sciences exhibition of its research achievements; three months later, he visited a Chinese Academy of Agricultural Sciences innovation center, and the Beijing Municipal Rail Transit Command Center. This time, he reportedly visited an exhibition commemorating the China's 40 years of reform and opening-up, a technology development zone, and a pharmaceutical factory.  Pyongyang has made clear its intent to shift to economic development, also that it needs assistance in various aspects. Beijing, as a next-door neighbor and longstanding friend, which has maneuvered a rags-to-riches transformation with four decades of reform and opening-up, has a lot of valuable experience to offer.         "
"Peninsula progress will take more than another meeting: China Daily editorial","
            
          China Daily |
            Updated: 2019-01-03 20:31
          ","                          US President Donald Trump and DPRK's leader Kim Jong-un walk together before their working lunch during their summit at the Capella Hotel on the resort island of Sentosa, Singapore, June 12, 2018. [Photo/Agencies]   For much of last year, both United States President Donald Trump and Democratic People's Republic of Korea leader Kim Jong-un were very enthusiastic about their interaction. Until they started bickering about whose turn it was to make the next move and the peninsula denuclearization process stalled, with the two sides pointing fingers at each other's gamesmanship.  But while speculation is rife that this means the peace process is on its last legs, both Trump and Kim apparently feel that there is still life in it.  Everybody seems to have noticed Kim's threat ""to explore a new path"" should the US pursue ""sanctions and pressure without keeping a promise it made in front of the world,"" in his New Year address. And to be wondering what that ""new path"" might be.  But Kim also declared denuclearization was his ""firm will"", and his country ""would neither make and test nuclear weapons any longer nor use and proliferate them"".  For anyone concerned about Pyongyang being the source of a nuclear threat, that should be a consoling message. Plus, Kim again displayed willingness to continue engaging with Washington over the future of the Korean Peninsula.  On the other side of the Pacific in Washington, the US president announced receiving a ""great"" letter from Kim, along with the probability of them meeting again.  ""He'd like to meet, I'd like to meet"", Trump said. ""We'll set that up, we'll be setting that up in the not-too-distant future"".  Although Trump stated he was in no hurry, unless the current momentum is badly disrupted, another US-DPRK summit meeting would likely sustain what Trump has said is his ""very good relationship with North Korea"", which is critical to his claim to have made progress in removing a nuclear threat.  It would also serve Pyongyang's needs for peace, economic development and closer cooperation with Seoul. There would be no guarantee of peace if the DPRK returns to a tense standoff with the US, while constructive engagement on denuclearization might be rewarded with precious US assistance in its pursuit of economic progress.  So it would be no surprise if another Trump-Kim summit occurs sooner rather than later.  However, things cannot really proceed far with key US demands remaining unmet and with the sanctions on the DPRK still in place, and since neither side seems willing to be the one to make the required move first, it would be naive to believe another meeting will make a substantial difference, unless somebody comes up with something new.  Both sides should heed the other's rational concerns if the positive momentum is to be maintained this year.         "
"Sanctions on Iran unlikely to get what White House wants","
            
          China Daily |
            Updated: 2018-11-05 07:02
          ","                      [Photo/Agencies]   As the US president indicated Saturday, he wants a deal with the Islamic Republic of Iran. Only he wants ""a new, more comprehensive"" one. One that suffices to not only freeze Iran's nuclear program, but also reduces that country's influence across the Middle East.  He seems confident that the full reinstatement of sanctions on Monday will achieve that, or he would not have posted a Game of Thrones-inspired poster, featuring himself, in the now-familiar chin-up determined-look pose, declaring ""sanctions are coming"".  That trademark confidence of his positive thinking has no doubt been bolstered by the success of pressuring Mexico and Canada into renegotiating the North American Free Trade Agreement and transforming it into what is now the more White House acceptable United States-Mexico-Canada Agreement.  And particularly the outcome of the ""extreme pressure"" exerted on the Democratic Republic of Korea, which his administration seemingly expects will work similar magic on Teheran.  Yet Washington would be seriously miscalculating if it assumes the kind of deal it seeks will materialize easily. It is certainly not just because Teheran will not back off. Iran is a lot different from the DPRK, thanks to its greater capabilities, resources and influence in the region.  Despite Trump's animosity to the 2015 agreement, which he called ""defective at its core"", whose ""decaying and rotten structure""""cannot prevent an Iranian nuclear bomb"", all the other signatories find it desirable and want to safeguard it.  China and Russia are firmly for it. And France, Germany, the United Kingdom and the European Union have issued a joint statement, announcing they ""deeply regret"" Trump's decision, reiterating their continued commitment to the deal.  In spite of Washington's allegation that Teheran is violating the agreement, United Nations inspectors stand firmly by their conclusion that it is abiding by the agreement.  The conspicuous lack of international solidarity on this issue, combined with the moral weakness of the US argument, will no doubt undermine its ""extreme pressure"" tactic.  US Secretary of State Mike Pompeo has demanded Teheran to withdraw from Syria, end its support to Hezbollah and Hamas, as well as Huthi rebels in Yemen. Such demands have nothing to do with a nuclear agreement.  The world was united behind sanctions against Iran in 2012. But the Trump administration is trying to get others to help it get what it wants. Having made clear it is only acting in its own interests it is hypocritical to call on others to do the same.         "
"DPRK's moves naturally have proviso: better safe than sorry: China Daily editorial","
            
          China Daily |
            Updated: 2018-10-16 07:30
          ","                          ROK President Moon Jae-in (right) and top DPRK leader Kim Jong-un. [Photo/IC]   Unimaginable just a few months ago, Democratic People's Republic of Korea leader Kim Jong-un may soon shake hands with his US counterpart at a second summit meeting.  Kim has on multiple occasions expressed readiness to forsake nuclear weapons, for which he had turned his back on the rest of the world. Now he is offering to allow international inspectors to verify the measures he has taken.He has also reportedly entrusted Republic of Korea President Moon Jae-in to convey an invitation for Pope Francis to visit his country.  And his government has officially launched a website dedicated to soliciting investments in selected development projects, ranging from hotels to railways to power stations.  These are unmistakable gestures of goodwill, indicating genuine eagerness on his part for his country to rejoin the international community and pursue nation-building in a peaceful environment.  Moon, who has been behind most of those recent developments and has engaged personally with his northern counterpart, says he is convinced of Kim's sincerity, and is now calling on the rest of the world to reward Kim for what he has done.  If, as he told Le Figaro, Kim ""has taken the strategic decision to abandon his nuclear weapons"", this is indeed time for the international community, the United States in particular, to respond accordingly.  Given the initial steps Pyongyang has taken and pledged to take, it is important for the rest of the world to not keep Kim from feeling ""frustrated by the international community's continuing mistrust"".  Moon was correct in saying that ""we need to assure Kim Jong-un that he took the right decision in deciding to denuclearize and we need to accompany him in his wish for a durable and solid peace"".  This may not be easy. But the international community does need to prove its appreciation of the positive developments on the Korean Peninsula, and offer decent incentive for sustaining the fine momentum.  Moon's call for an official end to the Korean War reflects Pyongyang's foremost concern is for security guarantees in exchange for denuclearizing. Which is understandable considering the longstanding insecurity the DPRK has been made to feel by the US and its allies. Without this concern being properly addressed, all rhetoric about denuclearization may just be empty talk.         "
