title,date_published,text
Not the right time for EU to fall for US trade sop,8/14/2018,"                      The surprising announcement of US President Donald Trump and European Commission President Jean-Claude Juncker in July that they intend to establish a zero-tariff trade regime has left many in China worried that the new trade partnership developing across the Atlantic could end up targeting China. Given the intensifying Sino-US tariff war, such concerns would only increase, especially because two senior trade officials from Brussels are scheduled to visit Washington on Aug 20 (unusually sacrificing their summer break) to discuss how the two sides can work toward zero tariffs, and zero subsidies for non-auto industrial goods. But if the new trade alliance Washington and Brussels are trying to work out is not targeted at China, and instead merely aimed at renewing their free trade and investment negotiations, which hit a roadblock after Trump took office in January 2017, there is no reason for Chinese people to be worried. In fact, Brussels has denied the new transatlantic trade partnership is targeted at China. At a meeting with Foreign Minister Wang Yi early this month, EU High Representative for Foreign Affairs and Security Policy Federica Mogherini said the European Union has no intention to adopt any policy or take any action against China. Instead, the EU stands with China in supporting multilateralism and free trade, and regards China as a major and key strategic partner. But since the EU played a pioneering role in shaping the current global governance regime, it must uphold international justice, not follow the rule breakers, at a time when globalization is under attack from protectionist forces. The atmosphere is not conducive to EU officials discussing a zero-tariff trade regime with their US counterparts, especially because the United States has imposed high tariffs on imports from the EU and other economies, especially China that openly opposes protectionism and unilateralism, and strongly supports free trade. True, the World Trade Organization framework allows bilateral talks on free trade and investment facilitation. But the EU officials should have realized this is not the right time to start such negotiations. Equally important, the EU should have involved the member countries, especially the two largest EU economies France and Germany, in the negotiations with the US. Since the 28 member countries of the EU are in different stages of economic development, the bloc as a whole needs the market, complete with its rules, for sustainable development. In manufacturing, for example, France is not as competitive as Germany. And many Central and Eastern European countries, which are still undergoing industrialization, could suffer a heavy blow, in terms of jobs opportunities for example, if US industrial goods were imported by the EU without any tariffs. That is precisely why French President Emmanuel Macron has been reluctant to accept the US-EU statement after the Trump-Juncker meeting. Moreover, even if the US-EU trade and investment talks enter the final stage, the legislative bodies of the EU and its member states may find it difficult to approve the Trump-Juncker proposal. Seemingly, zero tariff and zero non-tariff barrier are beautiful terms for politicians to gain public support. But the average tariff level between the US and the EU is already as low as 3 percent, so the two sides' efforts should only be aimed at lifting non-tariff barriers. The fact that transatlantic trade is mostly about competing against each other, achieving complementarity is difficult. For example, it is unlikely that the EU member states would purchase Boeing aircraft in bulk, and the US airlines would place big orders for Airbus planes. But the US could sell Boeing aircraft and the EU Airbus planes in bulk if they do business with China. The decision is theirs, but they would decide to deepen trade ties with China only if they truly believe in free trade. The author is deputy chief of China Daily European Bureau. fujing@chinadaily.com.cn         "
Spark the G20 spirit to stop US destroying WTO,7/17/2018,"                          The World Trade Organization (WTO) headquarters are seen in Geneva on April 12. [Photo/VCG]   With the global economy being dangerously-threatened and even damaged by unilateralism and trade bullying, the Monday meeting between China and European Union leaders went beyond the bilateral sphere and injected timely impetus into China-EU ties to save the global multilateral trading system from being destroyed by the unilateralism of the United States.  Both China and the EU, which have benefited hugely from free trade and market liberalization for decades, have pledged to take the lead in speeding up reform of the World Trade Organization, the leading global governance regime set up in the aftermath of the World War II, along with the World Bank and International Monetary Fund.  Having evolved from GATT (General Agreement on Tariffs and Trade) reached in 1947, the WTO was born in 1995 and as of now it has 164 members, which produce 98 percent of global trade flows. But this rule-based institution has faced tremendous challenges mainly because the US has unilaterally raised tariffs on the imports from its major trade partners, including China-which entered into the WTO in 2001-the European Union and Japan. The US has even escalated trade tensions with China by warning it will soon impose high tariff on almost half of the imports from China.  And within the WTO, the dispute settlement mechanism, one of the core pillars of the multilateral trading system, has come to a standstill because the US has long blocked the efforts to appoint new judges for the organization's appellate body.  It is normal for the 164 members to have differences but the most important thing is to have such a mechanism as the WTO to stand between complainants and respondents. But now, due to absence of judges, the US has basically made the WTO's dispute settlement body unworkable.  At the same time, with some negotiations such on as e-commerce still going on, the negotiations on rule changes within the WTO have basically slowed down. While, on the other hand, bilateral free trade and regional trade and investment talks have emerged, which is also a challenge that the WTO must face and accommodate.  The joint pledges by China, the world's biggest trading economy, and the EU, a 28-member bloc basically integrated through zero tariffs, to forge a working group to deepen WTO reform are encouraging, as the EU needs quick initiatives and actions to defend it from the attack of the Donald Trump administration.  The Trump administration has already withdrawn the US from several multilateral agreements-on climate change, the Iran nuclear crisis and UNESCO. And it is now challenging the WTO trade system.  So the WTO members must consider that scenario and try to convince the US to return to the negotiation table and multilateral regimes of global governance.  Meanwhile, China and the EU can use the platform of G20, which has already become an effective platform for both rich and emerging economies to coordinate their stances. China and the EU can set an example by standing together to oppose the US' actions and leverage that to convince other major economies to stand together to oppose the unilateralism of the US.  Ten years ago, when the G20 summit mechanism was established amid the economic ravages of the 2008-09 financial crisis, such a coordinating, cooperative and comprising spirit was evident and played an irreplaceable role in limiting the effects of the crisis. Now, it is time to press the emergency button, carry forward that spirit, and take such cooling-down actions again in the global village.  The author is deputy chief of China Daily European Bureau.fujing@chinadaily.com.cn         "
It's time the EU realized US' anti-free trade characteristics,7/10/2018,"                          US President Donald Trump walks on the South Lawn of the White House upon his return from Bedminster, New Jersey, to Washington, July 8, 2018. [Photo/Agencies]   European Council President Donald Tusk's weekly agenda shows he will discuss only routine affairs with US President Donald Trump at the NATO summit in Brussels on Wednesday and Thursday. And there are no signs yet to suggest the European Union and the Trump administration will hold their first summit in the near future.  The reason for Trump's reluctance to hold a US-EU summit could be attributed to his discomfort with the idea of European integration. He even urged France recently to leave the bloc.  Although EU leaders expected a EU-US summit to be held at the earliest given the importance of the Transatlantic Trade and Investment Partnership, Trump didn't show any inclination to do so. Now, even the EU is not pushing forward the TTIP agenda.  Trump visited Brussels in May 2017 but just held a short meeting with top European leaders on the sidelines of the NATO summit. And although he will visit Brussels for the two-day NATO summit again this week, no separate meeting with the EU leaders is scheduled, at least so far. Perhaps because their meeting at the G7 summit in Canada last month was anything but successful, they don't want to go through the same experience again.  But in protocol terms, this is unusual.  The EU boasts 500 million consumers and its collective economic clout is greater than that of the United States. Traditionally, theirs has been the closest partnership in the world; more importantly, such a meeting is necessary when the US president is visiting the EU headquarters.  During my almost eight-year stay in Brussels, it was usual protocol practice for EU leaders to hold meetings with visiting leaders, but Trump has bypassed that practice.  Hopefully, the US and EU officials are comparing last-minute notes to hold a US-EU meeting in Brussels.  Trump will also pay a four-day visit to the United Kingdom, which is busy negotiating Brexit terms with the EU, although Britons are protesting against the US administration. Apparently, Trump will discuss a free trade agreement with UK leaders, even though the UK is forbidden to do so until it leaves the EU.  Trump may be sending a message to the EU that he is playing a balancing game by giving the EU short shrift and attaching importance to the UK. The cooling of relations between the EU and the US is also a setback for global governance.  Since the 2008 global financial crisis, the G20 summits of advanced economies and emerging powers pushed forward global crisis-management measures to reform the global governance mechanism, with the major global players speaking in the same voice on climate change and other burning issues such as the Iran nuclear deal.  Despite the ups and downs, the international community managed to uphold rather fruitful dialogues and agreed to take concerted actions to meet global challenges. And China, the EU, the Barack Obama administration and other major players fulfilled their due roles.  But all that changed after Trump became US president.  Therefore, it's time the EU realized the Trump administration is out to neutralize the results of those joint efforts, by pushing its ""America first"" policy. The EU has always urged China to shoulder more global responsibilities, which the latter has done. And President Xi Jinping has reiterated that China has benefited from reform and opening-up, and thus will protect globalization and free trade.  China has been fighting protectionism and unilateralism not only for its own sake but also to protect the legacy of global governance, which is also in the interests of the EU and the US. So the EU must also fulfill its responsibility of safeguarding the assets and legacy of global governance in fields such as free trade, climate change, healthcare and education.  And to do that successfully, the EU must know which economy represents fairness in trade and which opposes it by launching trade wars.  The author is deputy chief of China Daily European Bureau.  fujing@chinadaily.com.cn         "
Nation looks to capitalize on year of vital anniversaries,7/3/2018,"                      The first six months of this year have been distressful for the world with the Donald Trump administration hellbent on instigating a trade war, especially against China, and destroying the multilateral trading system.  In contrast to the United States' measures, which are isolating it from the international community, other important economies such as China and the European Union have been making sincere efforts to save the global trading system from being subverted by protectionist forces.  The next six months would be critical for the global economy, and economies across the world have to make concerted efforts to neutralize the negative forces, led by the US. Global leaders have to infuse positive energy into world trade, by exchanging ideas and making coordinated moves to reach a consensus on how to not only manage international relations but also make it fairer.  In the next six months, the world will have several occasions to reflect on the triumphs and failures of international relations and the positive role China has been playing to safeguard the world order. For example, in November, Europe will mark the 100th anniversary of the end of World War I (1914-18), which prompted the world to think about building a fair international order.  In September, the world should reflect on what went wrong 10 years ago with Lehman Brothers, whose collapse triggered the global financial crisis, and draw lessons from the failings of Wall Street.  And in December, the leading advanced and emerging economies will hold the G20 Summit in Argentina, the first in Latin America. One hopes they discuss why the global leaders initially didn't take the global financial crisis seriously and reached a consensus to oppose trade protectionism in all its forms. Had they done that, the world would not be in a political and economic mess that we see it in today.  For China, this year marks quite a few important anniversaries.  Aug 8 will mark the 10th anniversary of the Beijing 2008 Summer Olympic Games, which provided China with a chance to present its achievements in different spheres to the international community and show it is working as a catalyst to unite the world.  In September and October in 2013, President Xi Jinping delivered two famous speeches during his visits to Asian countries, which signaled the birth of the Belt and Road Initiative that is now acting as an umbrella of China's diplomacy. The goals of promoting peace and prosperity by achieving mutually beneficial results have since become an integral part of the Belt and Road Initiative, which can be seen as an intellectual contribution of China to the world.  But the most cherished landmark for China is the 40th anniversary of reform and opening-up. The Chinese people are celebrating the anniversary because reform and opening-up have helped them to shake off poverty, land decent jobs and continuously increase their incomes. They have former leader Deng Xiaoping's vision, wisdom and pragmatism to thank for that.  The Chinese are dreaming of a much better future as China's per capita GDP of close to $9,000 shows the country is on way to becoming a truly modern economy by the middle of this century. In fact, Xi has unveiled a blueprint that projects China will become a great, modern socialist country by 2050.  But to achieve the goal, China needs a favorable external atmosphere, as interdependence is integral to globalization.  So, when Chinese leaders meet their counterparts at the BRICS Summit later this month, African leaders in September, and Asian and European leaders in October, and the world's top leaders at the APEC and G20 meetings, they will emphasize that China remains committed to promoting globalization and the multilateral trading system.  Hopefully, after six months, Sino-US trade tensions will disappear and China will be closer to achieving its goals.  The author is deputy chief of China Daily European Bureau.         "
"China, EU can work together to help others",6/26/2018,"                          [Photo/VCG]   With US President Donald Trump intensifying his attacks on globalization and free trade, the European Union has decided to expand its presence and influence on the global stage by largely increasing its ""external action"" budget. The European Commission has proposed to increase the external action budget to 123 billion euros ($143.34 billion) for the 2021-27 period compared with 94.5 billion euros for 2014-2020. The 30 percent hike in the ""external action"" budget is encouraging given the EC's slow growth.  That proposal, however, needs the approval of the European Parliament before it can be implemented.  The EU's efforts are in tandem with China's growing determination to boost international cooperation and development. Even though its per capita GDP is far lower than that of the EU, China set up its own international development and cooperation agency earlier this year in this round of institutional reform.  The two moves across the Eurasian continent come as calming signals at a time when unprecedented isolationism, unilateralism and rivalry between economies are threatening to destroy the established norms, rules and partnerships of the international system. But such actions need to be properly coordinated to maximize the benefits, particularly for those in need across the world.  The EU comprises many of the world's wealthiest economies with a stable political atmosphere. Apart from having huge experience in implementing international development projects, the EU also has the most advanced innovation policy, green and high-tech expertise, welfare and education systems, and social networking.  On the other hand, China's five-year economic and social plans' focus on poverty alleviation, its experiences in urbanization and development, even its firewall to prevent external financial intervention are important lessons for other countries.  China has vowed to eliminate absolute poverty by 2020. During its four decades of reform and opening-up, and gradual transformation from planned to market economy, China has signed dozens of free trade agreements with other countries which have been beneficial to not only China but also the rest of the world.  So, if China and the EU put those achievements on the same page, the list of beneficiaries will be surprisingly longer than imagined.  Of course, China and the EU have a lot of room for improvement when it comes to their ""external action"" agenda. For example, the EU focuses on selling its own political objectives and values. But political intervention has no place in international development and cooperation, and there are many unsuccessful cases which prove the point.  In contrast, China has no such agenda because it is convinced the people of every country have the right to choose their own development path. External actions, advices and even models can be used as references, but definitely not as preconditions. And political intervention should never be part of any international or cooperation project.  These are some of the areas in which the EU and China can cooperate and hopefully work together in, to make the world a better place. But their cooperation should go beyond the two-way level.  A European Union development institution has reportedly proposed to cooperate with China to spread the latter's experience, so that less-developed countries can learn from it to successfully develop economic and industrial parks and zones.  The proposal is interesting, as it would allow different economies to find out how China achieved unprecedented economic success.  This should give China and EU leaders, who are scheduled to hold their summit soon, some food for thought and prompt them to learn from each other's experiences and then design pilot programs for joint international development and cooperation.  The author is deputy chief of China Daily European Bureau.         "
"EU should judge the US by its actions, not reputation",6/20/2018,"                          [Photo/VCG]   Beijing and Brussels have been preparing for the annual China-European Union summit scheduled for July in Beijing, while the United States is turning its selfish unilateral policies into damaging and disruptive actions.  This is a reality Beijing and Brussels must face when approaching the summit and to build it into a sustainable and progressive platform. Of course, investment treaty, market penetration, increased flows of goods and people, and other issues should be listed on the agenda. But, as the leading drivers of globalization and multilateralism, the two sides must realize the changing global political and economic situations have already forced them to change their approach to the summit.  This means the China-EU summit must go beyond the mutual level to stabilize global governance at a time when the US is either withdrawing from multilateral pacts or disrupting the decades-old rules and consensuses established by the international community. In this sense, the summit looks to be historic and different from the previous ones.  However, this does not necessarily mean the rest of the international community should accept the US' disruptive policies. True, the US is the world's largest economy. But since the global supply and production chain has greatly contributed to the US' success, the entire international community should force the US to fulfill its international responsibilities.  So when Beijing and Brussels compare their notes for next month's summit, they should decide on what common actions to take in order to prevent Washington from turning the escalating trade tensions into war. Washington has already put Beijing and Brussels in the same boat, but what it has not realized is that the long global production chain, too, is in that boat.  It is necessary for Brussels and Beijing to warn Washington that it should withdraw its high punitive tariffs on exports from China and the EU for its own good. That the EU still has 28 members and 500 million consumers gives it a strong leverage to oppose the US' disruptive trade policies. And along with China's countermeasures against the US, the EU can use this leverage to force US decision-makers to change their anti-globalization and unilateral trade policies.  Considering the flip-flop nature of the Trump administration, Beijing and Brussels must establish long-term coordination to force Washington back on the track, and to behave like a responsible global leader.  China has been making concerted efforts to make the world a peaceful and prosperous place through cooperation, consensus and mutual trust, which shows it is a responsible global player.  After Xi Jinping became China's top leader in 2012, the overarching goal of China's diplomacy has been to forge a new type of international relations featuring mutual respect, fairness, justice and win-win cooperation, and to build a global community of shared future.  The EU is committed to globalization and a multilateral global system, and it is delving into the global problems so as to build a better world characterized by fair governance, with special focus on Eurasia. In many ways, the EU has been pursuing the same diplomatic goals as China, although on some occasions its interpretations and practices are different. This broad convergence of their goals should prompt the two sides to establish a comprehensive strategic partnership by removing ideological barriers, as President Xi said during his recent meeting with German Chancellor Angela Merkel in Beijing.  China and the EU have long planned to become ""strategic partners"", but their efforts have been hampered by the lack of mutual trust. So Brussels must reflect why Beijing's relations with most of the EU members are better than the overall Beijing-Brussels ties.  It's time Brussels started acting not only as a regulator of relationships but also as a promoter, advocator and pioneer of healthy, constructive and visionary partnerships. It's also time the EU changed its approach toward the US to build sturdy and productive relations with other leading global players, including China.  The author is deputy chief of China Daily European Bureau.         "
Partnership between EU and US is no longer rosy,6/5/2018,"                      Is the United States still the ""closest partners, friends and allies"" of the European Union? The EU's mainstream media outlets and opinion leaders have been questioning the cross-Atlantic partnership after the US announced that starting on June 1 it would impose additional duties of 25 percent on steel and 10 percent on aluminum imports from the EU amid the endless talks with the Donald Trump administration. The EU has vowed to take tit-for-tat measures while the bloc's trade commissioner Cecilia Malmstrom termed May 31, when the US announced the decision, as a ""bad day"" for world trade. Malmstrom's reaction follows European Council President Donald Tusk's strong criticism of US President Trump's policy of dealing with an ally. In fact, last month Tusk said that Trump practices a policy of ""capricious assertiveness"". Tusk even pointed out that the EU should be grateful to Trump ""because thanks to him we have got rid of all illusions"". Public opinion within the EU has also been downbeat about the across-Atlantic relationship ever since Trump won the US presidential election in 2016 and entered the White House in January 2017. No wonder the summit between Donald Trump and European leaders in May 2017 was downgraded to a leaders' meeting, and it lasted just about one hour in Brussels. Trump has held many summits with global leaders, but no such summit has taken place between Washington and Brussels. But diplomacy is still diplomacy. On Friday, when European Commission Vice-President Federica Mogherini and China's State Councilor Wang Yi met journalists in Brussels after their strategic talks, Mogherini said it does not mean the US ""are not our closest partners and friends and allies, they remain such"" despite the rising trade tensions and Trump's decision to impose additional tariffs on EU imports. Mogherini refrained from saying the obvious perhaps because European leaders are scheduled to meet with Trump on Friday and Saturday at the G7 Summit in Canada's Charlevoix. It is possible she did not want to further worsen the situation and, instead, wanted to buy more time for both sides to settle their differences, control risks and shape a new consensus to stabilize their relations. It can be put this way: if EU leaders (including those from the United Kingdom, France, Germany and Italy) cannot reach a new consensus on trade, security and multilateralism with Trump, the outcomes of the G7 Summit will be very, very limited. And if they do reach an understanding in Charlevoix, the annual meeting among the world's most advanced economies could still offer public goods to the global economy, which faces rising trade disputes, financial hegemony, geopolitical threats, isolationism, populism and unilateralism. However, that would be expecting too much from Trump, and suppose that happens, it would be a miracle. Originally, the EU hoped to achieve an ambitious deal, the Transatlantic Trade and Investment Partnership, with the US when Barrack Obama was US president. After Trump succeeded Obama, the deal has been all but dead with no signs of resumption of negotiation. The TTIP deal was among the EC's 10 priorities for the 2014-19 period. But it seems it has been already scrapped. The Trump administration has dealt a heavy blow to multilateralism and the EU by pulling out of the hard-won Paris climate change agreement and the Iran nuclear deal, as they reflected the EU's mediating capability on the global stage. Besides, by leaving the Paris-based UNESCO and challenging the role of the Geneva-based World Trade Organization, the US administration has undermined the EU's efforts to make global governance truly multilateral and rule-based. The developments across the Atlantic over the past few months show the relationship between the US and the EU is not as close as before, and mutual mistrust is rapidly increasing. Otherwise, the two sides would not be dancing to different tunes on the global stage. The author is deputy chief of China Daily European Bureau. fujing@chinadaily.com.cn         "
EU needs more partners to safeguard globalization,5/23/2018,"                      Given the uncertainties, concerns, mistrust and fears prevailing across the world, mainly because of the Trump administration's unstable foreign policy, politicians in the European Union may not be capable of protecting globalization, let alone promoting it. This fear was evident in the speech European Council President Donald Tusk made at the European Union-West Balkans Summit last week, in which he said some major global players were no longer the friends of the EU. But before elaborating on the cross-Atlantic partnership, Tusk said ""the rise of China"" and ""the aggressive stance of Russia"" were the EU's traditional political challenges. Such claims, rather beliefs, are baseless, but they could prompt EU politicians to keep other global players at arm's length in regional and international affairs. More important, Tusk said the United States administration and President Donald Trump practiced a policy of ""capricious assertiveness"". He was even quoted as saying that looking at the latest decisions of Trump, ""many could even think that 'with friends like that who needs enemies'."" Tusk went on to say that Europe should be grateful to Trump ""because thanks to him we have got rid of all illusions."" In all probability, this is the first time in the history of EU-US alliance that Brussels has criticized Washington using such strong language. Washington seems hell-bent on leading the world to nowhere, and Brussels is trying to stop it from doing so, while Beijing is urging Washington to correct its mistakes. For global players, however, strategic options matter more than the criticisms. What Tusk has essentially proposed is to ""unite"" the EU and ""act on our own"" to meet the challenge of the US. Shaping an EU consensus in dealing with global challenges and protecting globalization is critical. But that would not be enough. The EU should fulfill its responsibilities as one of the major global players, and the international community needs to take serious and immediate actions to protect free and fair global trade. China has already set an example in this regard by actively engaging regional powers such as India, Japan and the Republic of Korea in economic and strategic talks to promote globalization and free trade. This is not surprising, though, because China has always believed in making friends to contribute to global peace and prosperity. But the EU has not always been consistent in its partnerships with other global players. It has largely followed in the footsteps of the US until Trump became the US president last year. The EU should move beyond its own interests and act within a global framework of coordination and cooperation. The EU's recent strategy of dealing with China is different from the political consensus the two sides reached in 2014 to jointly pursue peace, growth, reform and civilization. Besides, the fact that some EU politicians still consider China a threat is groundless. In fact, apart from boosting common economic interdependency, China and the EU have worked together to fight climate change and finalize the Iran nuclear deal, from which Trump withdrew the US recently. If the EU still sees China's rise as a challenge, its cooperation with China may not be as smooth as it should be. The bond across the Atlantic is still close despite Trump's miscalculation. The EU should make efforts on its part to strengthen it. A stronger cross-Atlantic alliance is also in the interests of China. The world is at a historically critical moment. Leaders, especially those of the major players, must shoulder their responsibilities as statesmen to avoid the escalation of tensions that would lead to a trade war and even conflict. The author is deputy chief of China Daily European Bureau. fujing@chinadaily.com.cn         "
International community must prevent a trade war,4/10/2018,"                          Photo taken on April 7, 2018 shows a passage to the main venue for Boao Forum for Asia (BFA) in Boao Town, South China's Hainan province. The Boao Forum for Asia annual conference will last from April 8 to April 11. [Photo/Xinhua]   The world will pay special attention to President Xi Jinping when he addresses his speech to almost 2,000 politicians, and business, media leaders and scholars from across the world at the annual Boao Forum for Asia in South China's Hainan province on Tuesday amid the escalating Beijing-Washington trade dispute.  Since US President Donald Trump took office in January 2017, the world has been concerned about his governance strategies and tactics. In contrast, China has been acting as a responsible world power. Last year, China exhibited its goodwill when Xi met with Trump at Mar-a-Lago resort in the US state of Florida. That meeting was followed by Trump's state visit to China last November and the Xi-Trump meeting at the G20 Summit in Hamburg, Germany, in July.  But those high-level dialogues did not soften Trump's determination to ignite a trade war with China. Even the visits of Yang Jiechi and Liu He, both members of the Political Bureau of the Communist Party of China Central Committee, to the US to show China's sincerity in addressing the key issues of mutual concern through negotiation didn't have any effect on Trump.  Instead, Trump said on Thursday that he is considering additional tariffs on Chinese goods of $100 billion. This would be in addition to the tariffs on $50 billion worth of Chinese goods and those on Chinese steel and aluminum exports earlier. China has taken resolute countermeasures against US' unilateral move to safeguard its interests and the global trade system.Against this background, Xi will deliver his speech at the 2018 Boao Forum for Asia.  When he wrapped up his first visit to Western Europe as China's president in early 2014, Xi proposed that China and the European Union forge a partnership on peace, growth, reform and civilization while respecting diversity of cultures and traditions. He delivered another memorable speech at the World Economic Forum in Davos, Switzerland, in January last year, urging the international community to adhere to free trade, globalization and multilateralism. This prompted former EU president Herman von Rompuy to label the two speeches as ""historic addresses"".  Xi's address at the Boao Forum on Tuesday is likely to become another historic speech, especially because amid the deteriorating global situation, Xi is expected to inject confidence and courage into the international community by announcing China's new reform and opening-up which will further boost global growth. China has already contributed almost 30 percent of the annual global economic growth during the last decade.  Xi's speech will most likely be a continuation of his message to the outside world-of closely integrating China with the world through closer win-win cooperation.  Over the past four decades, China has immensely benefited from open-door and free trade policies, while the rest of the world has also shared the benefits in equal measure. So it is expected that Xi's message to the world will again make it clear that China is a peace-loving country that abides by international rules. But it will also emphasize China is vehemently opposed to the rule of the jungle, as it advocates global justice and fairness. Xi may also warn the international community that it should not be complacent about the looming danger that the global economy could be dragged into another catastrophe if protectionism and isolationism, which Trump is promoting, gain the upper hand in world trade.  The recent dramatic fluctuations in global markets because of the US' trade protectionist measures are already showing upsetting signs. So the international community should take concerted action to prevent a full-fledged trade war between China and the US, because it could have a devastating impact on the global economy.  The author is deputy chief of China Daily European Bureau. fujing@chinadaily.com.cn         "
Should we lower the age of criminal responsibility to 12?,3/16/2019,"                      Editor's note: During two sessions,30 NPC deputies put forward a joint proposal on the Law on the Protection of Minors, suggesting that the age of criminal responsibility be lowered from 14 to 12. China’s criminal code at present holds that no child under the age of 14 can be held criminally liable – should we change that? Forum readers share their opinions.  mbursian (US)  Children should not be exempt from being criminally responsible, particularly for violent crimes.  In the US the minimum age of criminal liability is set at the federal and state level. At state level 33 set no minimum age of criminal responsibility, theoretically allowing a child to be sentenced to criminal penalties at any age. Of the states that do set a minimum age of criminal responsibility, North Carolina has the lowest at seven years old, while Wisconsin has the highest at ten years old.      People buy books about China's criminal law at a bookstore in Yichang, Hubei province on October 29, 2014. [Photo/CFP]   "
